x1873,ALMs,IP,OP,Valid,Timestamp,B,Cycles
true,1061460.0,23,2,false,5202,10752,1322141.0
true,1311389.0,29,2,false,5202,10464,1242534.0
true,1394728.0,31,2,false,5202,10272,1226536.0
true,156340.0,2,2,false,5202,15552,6005870.0
true,107443.0,1,2,false,5202,18144,6018095.0
true,1394728.0,31,2,false,5202,10464,1223891.0
true,803569.0,17,2,false,5202,10272,1460311.0
true,1352868.0,30,2,false,5202,10272,1234816.0
true,1061460.0,23,2,false,5202,10944,1323089.0
false,3519689.0,85,2,false,5202,19008,1177583.0
false,3281231.0,79,2,false,5202,19200,1207322.0
true,928095.0,20,2,false,5202,10368,1383510.0
true,1352868.0,30,2,false,5202,10464,1232973.0
true,803569.0,17,2,false,5202,9600,1456753.0
false,3479972.0,84,2,false,5202,19200,1182005.0
true,420404.0,16,1,false,5202,8832,2852348.0
true,77749.0,1,1,true,5202,8448,11573461.0
true,77663.0,1,1,true,5202,7008,11613211.0
true,1011653.0,22,2,false,5202,11616,1348891.0
true,244956.0,8,1,true,5202,9024,4230521.0
true,245296.0,8,1,true,5202,4992,4535323.0
false,3638894.0,88,2,false,5202,19200,1162430.0
true,198827.0,6,1,true,5202,9312,5113585.0
true,401344.0,15,1,false,5202,6912,3026929.0
true,803569.0,17,2,false,5202,10560,1464821.0
true,77304.0,1,1,true,5202,1824,12344117.0
true,1269885.0,28,2,false,5202,11040,1249873.0
true,928095.0,20,2,false,5202,10848,1384954.0
true,1103111.0,24,2,false,5202,10656,1304481.0
true,970193.0,21,2,false,5202,10848,1362363.0
true,377723.0,14,1,false,5202,8832,3098073.0
true,725877.0,15,2,false,5202,7584,1561056.0
false,76775.0,1,1,true,5202,3456,32762831.0
true,290626.0,10,1,false,5202,8256,3719375.0
true,107443.0,1,2,false,5203,18048,6008115.0
true,1144734.0,25,2,false,5203,11328,1419625.0
true,77304.0,1,1,true,5203,1728,12403565.0
true,1436148.0,32,2,false,5203,11136,1210082.0
true,1352868.0,30,2,false,5203,10176,1237156.0
true,107443.0,1,2,false,5203,18336,6015362.0
true,444431.0,17,1,false,5203,7968,2756853.0
false,3559483.0,86,2,false,5203,19008,1172849.0
true,1228356.0,27,2,false,5203,10944,1262305.0
true,77533.0,1,1,true,5203,4992,11714799.0
true,1144734.0,25,2,false,5203,11424,1291589.0
true,290626.0,10,1,false,5203,7488,3700259.0
true,401344.0,15,1,false,5203,7488,2980437.0
true,506646.0,10,2,false,5203,15072,2268774.0
false,76716.0,1,1,true,5203,1824,34128601.0
false,76716.0,1,1,true,5203,1728,34290201.0
true,198929.0,6,1,true,5203,8256,4950651.0
true,268132.0,9,1,false,5203,7392,3897083.0
true,928095.0,20,2,false,5203,10560,1384235.0
false,3320967.0,80,2,false,5203,19008,1202042.0
false,76716.0,1,1,true,5203,1920,33980915.0
true,803569.0,17,2,false,5203,9888,1457701.0
true,719811.0,15,2,false,5203,9984,1522437.0
true,506646.0,10,2,false,5203,13056,2080555.0
true,886602.0,19,2,false,5203,10560,1408411.0
true,312913.0,11,1,false,5203,7488,3525303.0
true,198827.0,6,1,true,5203,9984,5247057.0
true,803569.0,17,2,false,5203,10080,1458123.0
true,1228356.0,27,2,false,5203,10080,1267152.0
true,1228356.0,27,2,false,5203,10464,1264523.0
true,886602.0,19,2,false,5203,12288,1435275.0
true,198827.0,6,1,true,5203,9888,5222965.0
true,465750.0,18,1,false,5203,9216,2655503.0
true,77693.0,1,1,true,5203,7200,11607284.0
true,719811.0,15,2,false,5203,9888,1521967.0
true,107443.0,1,2,false,5203,18240,6005947.0
true,1394728.0,31,2,false,5203,11040,1219520.0
true,198827.0,6,1,true,5203,9792,5204705.0
true,222059.0,7,1,true,5203,8256,4423474.0
true,928095.0,20,2,false,5203,10752,1383989.0
true,423045.0,16,1,false,5203,7968,2856028.0
true,401344.0,15,1,false,4053,7200,3000508.0
true,935780.0,20,2,false,4053,9792,1382707.0
true,935780.0,20,2,false,4053,9312,1385620.0
true,803569.0,17,2,false,4053,9312,1457582.0
true,356329.0,13,1,false,4053,9312,3268290.0
true,398980.0,15,1,false,4053,9888,3018578.0
true,334748.0,12,1,false,4053,7200,3381218.0
true,1228356.0,27,2,false,4053,13440,1274111.0
true,444431.0,17,1,false,4053,8640,2745358.0
true,978068.0,21,2,false,4053,9792,1361755.0
true,594901.0,12,2,false,4053,8928,1633318.0
false,3837429.0,93,2,false,4053,18624,1146977.0
true,198827.0,6,1,true,4053,10272,5310269.0
true,108869.0,1,2,false,4053,9312,6041631.0
true,423045.0,16,1,false,4053,7200,2896302.0
true,719811.0,15,2,false,4053,9792,1521196.0
true,222059.0,7,1,true,4053,8160,4414031.0
true,1394728.0,31,2,false,4053,13632,1221698.0
false,3599190.0,87,2,false,4053,18912,1172166.0
true,970193.0,21,2,false,4053,10944,1362851.0
true,441497.0,17,1,false,4053,9888,2775858.0
true,935780.0,20,2,false,4053,9984,1381648.0
true,108863.0,1,2,false,4054,4320,6148298.0
true,928095.0,20,2,false,4054,10944,1386159.0
false,3440250.0,83,2,false,4054,18912,1191511.0
true,107560.0,1,2,false,4054,17472,6026674.0
true,483518.0,19,1,false,4054,9888,2576628.0
true,245296.0,8,1,true,4054,5856,4252568.0
true,107675.0,1,2,false,4054,17280,6022922.0
true,462532.0,18,1,false,4054,9792,2669066.0
true,465750.0,18,1,false,4054,9120,2652360.0
true,1144734.0,25,2,false,4054,11136,1289561.0
true,334748.0,12,1,false,4054,9024,3409105.0
true,970193.0,21,2,false,4054,11616,1371305.0
true,1394728.0,31,2,false,4054,11136,1218614.0
true,108863.0,1,2,false,4054,4128,6158751.0
true,377723.0,14,1,false,4054,9792,3151139.0
false,3559483.0,86,2,false,4054,18912,1176936.0
true,356329.0,13,1,false,4054,9120,3254265.0
true,198827.0,6,1,true,4054,11040,5487559.0
true,1061460.0,23,2,false,4054,11232,1323457.0
true,462532.0,18,1,false,4054,9984,2677384.0
true,1186800.0,26,2,false,4054,10656,1274932.0
true,198827.0,6,1,true,4054,10176,5288097.0
true,803569.0,17,2,false,4054,9120,1457954.0
false,3758055.0,91,2,false,4054,19008,1147864.0
true,1061460.0,23,2,false,4054,11136,1323687.0
true,420404.0,16,1,false,4054,9792,2886609.0
true,107560.0,1,2,false,4054,17856,6008654.0
true,462532.0,18,1,false,4054,9408,2658945.0
true,462532.0,18,1,false,4054,11808,2779571.0
true,893993.0,19,2,false,4054,9696,1405567.0
true,198827.0,6,1,true,4054,10944,5464275.0
true,77693.0,1,1,true,4054,7680,11590523.0
true,803569.0,17,2,false,4054,9792,1457828.0
true,290626.0,10,1,false,4054,8544,3736616.0
true,377723.0,14,1,false,4054,9216,3115695.0
true,420404.0,16,1,false,4054,9888,2891149.0
true,108863.0,1,2,false,4054,4224,6156575.0
false,77241.0,1,1,true,4054,18432,31547861.0
true,1311389.0,29,2,false,4054,13920,1251208.0
false,76756.0,1,1,true,4054,3072,32947449.0
true,356329.0,13,1,false,4054,9792,3304344.0
false,3718291.0,90,2,false,4054,19104,1152833.0
false,76756.0,1,1,true,4055,2592,33271056.0
true,506646.0,10,2,false,4055,12864,2066462.0
true,1011653.0,22,2,false,4055,13056,1368905.0
true,245296.0,8,1,true,4055,6336,4169825.0
true,1311389.0,29,2,false,4055,13632,1247023.0
true,441497.0,17,1,false,4055,9120,2751031.0
true,928095.0,20,2,false,4055,11424,1392336.0
true,462532.0,18,1,false,4055,10080,2679899.0
true,502485.0,10,2,false,4055,16032,2370770.0
true,1311389.0,29,2,false,4055,11136,1237922.0
