runproute_err,runproute_time,spatial_sha,maketst_err,mapping,split-forward,VMC,runhybrid_wbw,VPCU-alloc,VMC-alloc,pir_sha,retime-buffer-only,runhybrid_err,fifo-depth,genpir_err,runhybrid_rbw,vdot,runp2p_complete,tungsten,row,PMU,col,runp2p_success,runhybrid_complete,runhybrid_time,runhybrid_pass,mem-tech,runp2p_cycle,runp2p_deadlock,mdone,pracc,pattern,runargs,VPCU,runhybrid_deadlock,mergeTime_ms,VDAG-split,app,PMU_Total,VPMU-alloc,VAFG,runhybrid_cycle,vlink,retimeGlob,stat,OPS-Other,retime-exout,MC,VDAG-alloc,retime-glob,PCU_Total,OPS-All,pirArgs,maketst_time,OPS-FU,runp2p_pass,vcLimit,constprop,maxActive,runp2p_rbw,runhybrid_success,succeeded,VPMU-split,VMC-split,time,runhybrid_dram_power,OPS-Prog FU,project,splitThread,net,bcread,VDAG,VPCU-split,codegen,merge,genpir,split-algo,OPS-Flt,splitTime_ms,freq,param,splitAlgo,runp2p_wbw,OPS-Fix,VAFG-alloc,MC_Total,VAFG-split,save,merge-forward,merge-algo,runp2p_dram_power,dot,runp2p_err,VPMU,runp2p_time,prtime,simfreq,gentst_err,algo,psim,avgActive,split-thread,dupra,PCU,notFit,DAG,rtelm,debug,pldi_sha,gentst_time,backend,slink,DAG_Total
,,10f10351,,true,false,2,,11,2,ef6cf6af,false,,16,,,false,True,True,20,9,20,False,False,,,HBM,16764,True,true,true,,,8,False,1133.780859,0,MLP_test_D0,200,10,1,,,true,true,"1260336 OP, 75.18 GOPS",true,2,0,true,200,"1751445 OP, 104.48 GOPS","--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --split-algo=dfs, --split-forward=false, --retime-glob=true, --retime-buffer-only=false, --dupra=true, --mdone=true, --retime-exout=true, --bcread=true, --pracc=true, --rtelm=true, --constprop=true, --merge=true, --merge-algo=dfs, --merge-forward=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=true, --vdot=false, --debug=false, --fifo-depth=16, --net=p2p, --row=20, --col=20, --mem-tech=HBM, --split-thread=4",0:58.80,"1456821 OP, 86.90 GOPS",True,,true,48.818897637795274,2.52732,False,False,10,2,2019-11-19 14:55:43 -0800,,"98277 OP, 5.86 GOPS",sim,4,p2p,true,0,11,true,true,True,dfs,,0.0,1000000000.0,"N=2046,batch=1,dims=List(4,4,4,4),ips=List(4,4,4),mps=List(1,1,1),ops=List(1,1,1)",dfs,1.95085,"491109 OP, 29.30 GOPS",1,40,1,false,false,dfs,,true,,9,0:00.84,,19.96kHz,,,false,39.36538276042381,4,true,5,,3,true,false,4132476,16.956426629,Tst,,40
,,10f10351,,true,false,2,,17,2,ef6cf6af,false,,16,,,false,True,True,20,9,20,False,False,,,HBM,836,True,true,true,,,17,False,1553.726434,0,MLP_test_D1,200,10,1,,,true,true,"9311 OP, 11.14 GOPS",true,2,0,true,200,"15791 OP, 18.89 GOPS","--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --split-algo=dfs, --split-forward=false, --retime-glob=true, --retime-buffer-only=false, --dupra=true, --mdone=true, --retime-exout=true, --bcread=true, --pracc=true, --rtelm=true, --constprop=true, --merge=true, --merge-algo=dfs, --merge-forward=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=true, --vdot=false, --debug=false, --fifo-depth=16, --net=p2p, --row=20, --col=20, --mem-tech=HBM, --split-thread=4",1:46.10,"13367 OP, 15.99 GOPS",True,,true,69.61722488038278,41.2632,False,False,10,2,2019-11-19 14:55:43 -0800,,"2208 OP, 2.64 GOPS",sim,4,p2p,true,0,26,true,true,True,dfs,,0.0,1000000000.0,"N=2046,batch=1,dims=List(4,4,4,4),ips=List(4,4,4),mps=List(1,1,1),ops=List(2,2,2)",dfs,0.0,"6480 OP, 7.75 GOPS",1,40,1,false,false,dfs,,true,,9,0:00.12,,6.97kHz,,,false,4.415700267618198,4,true,10,,7,true,false,4132476,35.233261156,Tst,,40
,,10f10351,,true,false,2,,23,2,ef6cf6af,false,,16,,,false,True,True,20,10,20,False,False,,,HBM,839,True,true,true,,,33,False,2691.312939,0,MLP_test_D2,200,10,1,,,true,true,"40149 OP, 47.85 GOPS",true,2,0,true,200,"54756 OP, 65.26 GOPS","--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --split-algo=dfs, --split-forward=false, --retime-glob=true, --retime-buffer-only=false, --dupra=true, --mdone=true, --retime-exout=true, --bcread=true, --pracc=true, --rtelm=true, --constprop=true, --merge=true, --merge-algo=dfs, --merge-forward=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=true, --vdot=false, --debug=false, --fifo-depth=16, --net=p2p, --row=20, --col=20, --mem-tech=HBM, --split-thread=4",1:24.37,"47820 OP, 57.00 GOPS",True,,true,69.7258641239571,41.3445,False,False,10,2,2019-11-19 14:55:43 -0800,,"3279 OP, 3.91 GOPS",sim,4,p2p,true,0,47,true,true,True,dfs,,179.29123,1000000000.0,"N=2046,batch=1,dims=List(4,4,4,4),ips=List(4,4,4),mps=List(1,1,1),ops=List(3,3,3)",dfs,0.0,"14607 OP, 17.41 GOPS",1,40,1,false,false,dfs,,true,,10,0:00.16,,5.24kHz,,,false,7.459773539928486,4,true,16,,17,true,false,4132476,57.623872177,Tst,,40
,,10f10351,,true,false,2,,29,2,ef6cf6af,false,,16,,,false,True,True,20,2,20,False,False,,,HBM,839,True,true,true,,,23,False,2169.399137,0,MLP_test_D3,200,2,1,,,true,true,"6840 OP, 8.15 GOPS",true,2,0,true,200,"8806 OP, 10.50 GOPS","--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --split-algo=dfs, --split-forward=false, --retime-glob=true, --retime-buffer-only=false, --dupra=true, --mdone=true, --retime-exout=true, --bcread=true, --pracc=true, --rtelm=true, --constprop=true, --merge=true, --merge-algo=dfs, --merge-forward=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=true, --vdot=false, --debug=false, --fifo-depth=16, --net=p2p, --row=20, --col=20, --mem-tech=HBM, --split-thread=4",1:17.61,"8222 OP, 9.80 GOPS",True,,true,69.7258641239571,41.3445,False,False,2,2,2019-11-19 14:55:43 -0800,,"1966 OP, 2.34 GOPS",sim,4,p2p,true,0,40,true,true,True,dfs,,328.97061300000007,1000000000.0,"N=2046,batch=1,dims=List(4,4,4,4),ips=List(4,4,4),mps=List(1,1,1),ops=List(4,4,4)",dfs,0.0,"1966 OP, 2.34 GOPS",1,40,1,false,false,dfs,,true,,2,0:00.11,,7.63kHz,,,false,3.237576317773832,4,true,17,,6,true,false,4132476,40.378189928,Tst,,40
