link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29],dst[30]
6486,909,6225,2,176128,1424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6489,910,6226,2,176128,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6490,910,6226,2,176128,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6491,910,6226,2,176128,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6494,911,6227,2,176128,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6495,911,6227,2,176128,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6496,911,6227,2,176128,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6499,912,6228,2,176128,1463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500,912,6228,2,176128,1463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6501,912,6228,2,176128,1463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6506,913,6229,1,128,6232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6508,914,6230,1,128,6229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6509,914,6230,1,128,6229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6511,915,6231,2,1024,6229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6513,916,6232,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6529,923,6234,2,1376,12386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6530,923,6234,2,1376,12386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6532,926,6235,2,1376,12386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6533,926,6235,2,1376,12386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6535,929,6236,2,1376,12386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6536,929,6236,2,1376,12386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6538,932,6237,2,1376,12386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6539,932,6237,2,1376,12386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6541,935,6238,2,1376,12385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6542,935,6238,2,1376,12385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6544,938,6239,2,1376,12385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6545,938,6239,2,1376,12385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6561,988,6241,2,1376,12517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6562,988,6241,2,1376,12518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6564,991,6242,2,1376,12518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6565,991,6242,2,1376,12517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6567,994,6243,2,1376,12518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6568,994,6243,2,1376,12518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6570,997,6244,2,1376,12518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6571,997,6244,2,1376,12518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6573,1000,6245,2,1376,12517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6574,1000,6245,2,1376,12518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6576,1003,6246,2,1376,12518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6577,1003,6246,2,1376,12517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6593,1091,6248,2,1376,12650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6594,1091,6248,2,1376,12650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6596,1094,6249,2,1376,12650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6597,1094,6249,2,1376,12650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6599,1097,6250,2,1376,12650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6600,1097,6250,2,1376,12650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6602,1100,6251,2,1376,12650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6603,1100,6251,2,1376,12650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605,1103,6252,2,1376,12649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6606,1103,6252,2,1376,12649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6608,1106,6253,2,1376,12649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6609,1106,6253,2,1376,12649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6625,1156,6255,2,1376,12782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6626,1156,6255,2,1376,12782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6628,1159,6256,2,1376,12782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6629,1159,6256,2,1376,12782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6631,1162,6257,2,1376,12782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6632,1162,6257,2,1376,12782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6634,1165,6258,2,1376,12782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6635,1165,6258,2,1376,12782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6637,1168,6259,2,1376,12782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6638,1168,6259,2,1376,12782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6640,1171,6260,2,1376,12782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6641,1171,6260,2,1376,12782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10079,9984,9982,2,172,11700,11839,11978,12117,12256,,,,,,,,,,,,,,,,,,,,,,,,,,
10078,9984,9982,2,1376,11561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11002,9984,9982,2,172,11700,11839,11978,12117,12256,,,,,,,,,,,,,,,,,,,,,,,,,,
11003,9984,9982,2,1376,11561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10177,10082,10080,2,172,11700,11839,11978,12117,12256,,,,,,,,,,,,,,,,,,,,,,,,,,
10176,10082,10080,2,1376,11561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11004,10082,10080,2,1376,11561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11005,10082,10080,2,172,11699,11839,11978,12117,12255,,,,,,,,,,,,,,,,,,,,,,,,,,
10275,10180,10178,2,172,11699,11839,11978,12117,12255,,,,,,,,,,,,,,,,,,,,,,,,,,
10274,10180,10178,2,1376,11561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11006,10180,10178,2,172,11699,11839,11978,12117,12255,,,,,,,,,,,,,,,,,,,,,,,,,,
11007,10180,10178,2,1376,11561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10373,10278,10276,2,172,11699,11839,11978,12117,12255,,,,,,,,,,,,,,,,,,,,,,,,,,
10372,10278,10276,2,1376,11561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11008,10278,10276,2,172,11699,11838,11977,12116,12255,,,,,,,,,,,,,,,,,,,,,,,,,,
11009,10278,10276,2,1376,11560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10471,10376,10374,2,172,11700,11838,11978,12116,12256,,,,,,,,,,,,,,,,,,,,,,,,,,
