link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19]
5604,9535,9662,2,7,9774,,,,,,,,,,,,,,,,,,,
9674,9536,9663,2,14336,9662,,,,,,,,,,,,,,,,,,,
9675,9536,9663,2,14336,9662,,,,,,,,,,,,,,,,,,,
9679,9537,9664,2,14336,9663,,,,,,,,,,,,,,,,,,,
9680,9537,9664,2,14336,9662,,,,,,,,,,,,,,,,,,,
9681,9537,9664,2,14336,9662,,,,,,,,,,,,,,,,,,,
9682,9537,9664,2,14336,9662,,,,,,,,,,,,,,,,,,,
5610,9683,9774,1,1,3,,,,,,,,,,,,,,,,,,,
9783,9684,9775,1,7,9774,,,,,,,,,,,,,,,,,,,
9788,9685,9776,1,7,9775,,,,,,,,,,,,,,,,,,,
9789,9685,9776,1,7,9775,,,,,,,,,,,,,,,,,,,
9790,9685,9776,1,7,9775,,,,,,,,,,,,,,,,,,,
