link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18]
10511,9441,9439,2,524288,11767,,,,,,,,,,,,,,,,,,
9740,9592,9590,2,131072,12384,13070,13762,14377,15062,15756,16370,,,,,,,,,,,,
9739,9592,9590,2,524288,11773,,,,,,,,,,,,,,,,,,
10512,9592,9590,2,131072,12384,13070,13762,14377,15062,15756,16370,,,,,,,,,,,,
10513,9592,9590,2,524288,11773,,,,,,,,,,,,,,,,,,
9891,9743,9741,2,131072,12384,13070,13762,14377,15062,15756,16370,,,,,,,,,,,,
9890,9743,9741,2,524288,11773,,,,,,,,,,,,,,,,,,
10514,9743,9741,2,131072,12382,13068,13760,14375,15061,15754,16369,,,,,,,,,,,,
10515,9743,9741,2,524288,11771,,,,,,,,,,,,,,,,,,
10042,9894,9892,2,131072,12383,13069,13761,14376,15063,15755,16371,,,,,,,,,,,,
10041,9894,9892,2,524288,11772,,,,,,,,,,,,,,,,,,
10516,9894,9892,2,131072,12383,13069,13761,14376,15063,15755,16371,,,,,,,,,,,,
10517,9894,9892,2,524288,11772,,,,,,,,,,,,,,,,,,
10193,10045,10043,2,131072,12383,13069,13761,14376,15063,15755,16371,,,,,,,,,,,,
10192,10045,10043,2,524288,11772,,,,,,,,,,,,,,,,,,
10643,10520,10518,2,131072,12388,13074,13766,14381,15067,15752,16367,,,,,,,,,,,,
10642,10520,10518,2,524288,11766,,,,,,,,,,,,,,,,,,
10828,10520,10518,2,524288,11766,,,,,,,,,,,,,,,,,,
10829,10520,10518,2,131072,12388,13074,13766,14381,15067,15752,16367,,,,,,,,,,,,
10769,10646,10644,2,131072,12388,13074,13766,14381,15067,15752,16367,,,,,,,,,,,,
10768,10646,10644,2,524288,11766,,,,,,,,,,,,,,,,,,
10935,10832,10830,2,4194304,5282,,,,,,,,,,,,,,,,,,
11050,10832,10830,2,4194304,5282,,,,,,,,,,,,,,,,,,
11041,10938,10936,2,4194304,5282,,,,,,,,,,,,,,,,,,
5377,11051,11111,2,256,875,,,,,,,,,,,,,,,,,,
5374,11051,11111,2,256,875,,,,,,,,,,,,,,,,,,
5375,11051,11111,2,256,8986,9137,9288,9439,9590,9741,9892,10043,,,,,,,,,,,
5376,11052,11112,2,256,8986,9137,9288,9439,9590,9741,9892,10043,,,,,,,,,,,
11117,11052,11112,2,256,11111,,,,,,,,,,,,,,,,,,
11118,11052,11112,2,256,11111,,,,,,,,,,,,,,,,,,
11119,11052,11112,2,256,11111,,,,,,,,,,,,,,,,,,
5399,11120,11764,2,131072,16537,16538,,,,,,,,,,,,,,,,,
11778,11121,11765,2,524288,11764,,,,,,,,,,,,,,,,,,
11782,11122,11766,2,524288,11765,,,,,,,,,,,,,,,,,,
11786,11123,11767,2,524288,11765,,,,,,,,,,,,,,,,,,
11790,11124,11768,2,524288,11767,,,,,,,,,,,,,,,,,,
11794,11125,11769,2,524288,11768,,,,,,,,,,,,,,,,,,
11798,11126,11770,2,524288,11768,,,,,,,,,,,,,,,,,,
11802,11127,11771,2,524288,11767,,,,,,,,,,,,,,,,,,
11806,11128,11772,2,524288,11771,,,,,,,,,,,,,,,,,,
11810,11129,11773,2,524288,11771,,,,,,,,,,,,,,,,,,
11811,11129,11773,2,524288,11764,,,,,,,,,,,,,,,,,,
5402,11812,12381,2,131072,16675,16676,,,,,,,,,,,,,,,,,
12396,11813,12382,2,524288,12381,,,,,,,,,,,,,,,,,,
12400,11814,12383,2,524288,12382,,,,,,,,,,,,,,,,,,
12404,11815,12384,2,524288,12382,,,,,,,,,,,,,,,,,,
12408,11816,12385,2,524288,12381,,,,,,,,,,,,,,,,,,
12412,11817,12386,2,524288,12385,,,,,,,,,,,,,,,,,,
12416,11818,12387,2,524288,12385,,,,,,,,,,,,,,,,,,
12420,11819,12388,2,524288,12381,,,,,,,,,,,,,,,,,,
5405,12421,13065,2,131072,16813,16814,,,,,,,,,,,,,,,,,
13079,12422,13066,2,524288,13065,,,,,,,,,,,,,,,,,,
13083,12423,13067,2,524288,13066,,,,,,,,,,,,,,,,,,
13087,12424,13068,2,524288,13067,,,,,,,,,,,,,,,,,,
13091,12425,13069,2,524288,13068,,,,,,,,,,,,,,,,,,
13095,12426,13070,2,524288,13068,,,,,,,,,,,,,,,,,,
13099,12427,13071,2,524288,13067,,,,,,,,,,,,,,,,,,
13103,12428,13072,2,524288,13071,,,,,,,,,,,,,,,,,,
13107,12429,13073,2,524288,13071,,,,,,,,,,,,,,,,,,
13111,12430,13074,2,524288,13065,,,,,,,,,,,,,,,,,,
13112,12430,13074,2,524288,13066,,,,,,,,,,,,,,,,,,
5408,13113,13757,2,131072,16951,16952,,,,,,,,,,,,,,,,,
13771,13114,13758,2,524288,13757,,,,,,,,,,,,,,,,,,
13775,13115,13759,2,524288,13758,,,,,,,,,,,,,,,,,,
13779,13116,13760,2,524288,13759,,,,,,,,,,,,,,,,,,
13783,13117,13761,2,524288,13760,,,,,,,,,,,,,,,,,,
13787,13118,13762,2,524288,13760,,,,,,,,,,,,,,,,,,
13791,13119,13763,2,524288,13759,,,,,,,,,,,,,,,,,,
13795,13120,13764,2,524288,13763,,,,,,,,,,,,,,,,,,
13799,13121,13765,2,524288,13763,,,,,,,,,,,,,,,,,,
13803,13122,13766,2,524288,13758,,,,,,,,,,,,,,,,,,
13804,13122,13766,2,524288,13757,,,,,,,,,,,,,,,,,,
5411,13805,14374,2,131072,17089,17090,,,,,,,,,,,,,,,,,
14389,13806,14375,2,524288,14374,,,,,,,,,,,,,,,,,,
14393,13807,14376,2,524288,14375,,,,,,,,,,,,,,,,,,
14397,13808,14377,2,524288,14375,,,,,,,,,,,,,,,,,,
14401,13809,14378,2,524288,14374,,,,,,,,,,,,,,,,,,
14405,13810,14379,2,524288,14378,,,,,,,,,,,,,,,,,,
14409,13811,14380,2,524288,14378,,,,,,,,,,,,,,,,,,
