link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26]
4631,886,4372,2,26240,13485,,,,,,,,,,,,,,,,,,,,,,,,,,
4632,886,4372,2,26240,13482,,,,,,,,,,,,,,,,,,,,,,,,,,
4634,889,4373,2,26240,13485,,,,,,,,,,,,,,,,,,,,,,,,,,
4635,889,4373,2,26240,13483,,,,,,,,,,,,,,,,,,,,,,,,,,
4637,892,4374,2,26240,13485,,,,,,,,,,,,,,,,,,,,,,,,,,
4638,892,4374,2,26240,13483,,,,,,,,,,,,,,,,,,,,,,,,,,
4640,895,4375,2,26240,13480,,,,,,,,,,,,,,,,,,,,,,,,,,
4641,895,4375,2,26240,13484,,,,,,,,,,,,,,,,,,,,,,,,,,
4655,957,4377,2,26240,13847,,,,,,,,,,,,,,,,,,,,,,,,,,
4656,957,4377,2,26240,13847,,,,,,,,,,,,,,,,,,,,,,,,,,
4658,960,4378,2,26240,13847,,,,,,,,,,,,,,,,,,,,,,,,,,
4659,960,4378,2,26240,13847,,,,,,,,,,,,,,,,,,,,,,,,,,
4661,963,4379,2,26240,13846,,,,,,,,,,,,,,,,,,,,,,,,,,
4662,963,4379,2,26240,14416,,,,,,,,,,,,,,,,,,,,,,,,,,
4664,966,4380,2,26240,13846,,,,,,,,,,,,,,,,,,,,,,,,,,
4665,966,4380,2,26240,14416,,,,,,,,,,,,,,,,,,,,,,,,,,
4667,969,4381,2,26240,13843,,,,,,,,,,,,,,,,,,,,,,,,,,
4668,969,4381,2,26240,14343,,,,,,,,,,,,,,,,,,,,,,,,,,
8126,8026,8024,2,8192,9693,9916,10140,,,,,,,,,,,,,,,,,,,,,,,,
8125,8026,8024,2,32768,9469,,,,,,,,,,,,,,,,,,,,,,,,,,
8510,8026,8024,2,32768,9469,,,,,,,,,,,,,,,,,,,,,,,,,,
8511,8026,8024,2,8192,9693,9916,10140,,,,,,,,,,,,,,,,,,,,,,,,
8229,8129,8127,2,8192,9693,9916,10140,,,,,,,,,,,,,,,,,,,,,,,,
8228,8129,8127,2,32768,9469,,,,,,,,,,,,,,,,,,,,,,,,,,
8512,8129,8127,2,32768,9467,,,,,,,,,,,,,,,,,,,,,,,,,,
8513,8129,8127,2,8192,9692,9915,10138,,,,,,,,,,,,,,,,,,,,,,,,
8332,8232,8230,2,8192,9694,9917,10139,,,,,,,,,,,,,,,,,,,,,,,,
8331,8232,8230,2,32768,9468,,,,,,,,,,,,,,,,,,,,,,,,,,
8514,8232,8230,2,8192,9694,9917,10139,,,,,,,,,,,,,,,,,,,,,,,,
