link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29],dst[30],dst[31],dst[32],dst[33]
10557,2196,3,1,1,10468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10558,2196,3,1,1,10466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10559,2196,3,1,1,10472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10560,2196,3,1,1,10494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10561,2196,3,1,1,10475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10562,2196,3,1,1,10460,10461,10463,10464,10467,10469,10470,10473,10476,10495,10509,10511,10518,10523,10526,10527,10528,10529,10531,10532,10534,10535,10546,10547,10548,10549,10553,10554,15395,15568,15741,15914,16066,16216
10563,2196,3,1,1,10459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10564,2196,3,1,1,10522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10565,2196,3,1,1,14827,14828,14954,14955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10566,2196,3,1,1,10517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10567,2196,3,1,1,10462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10573,2214,2200,2,20,10487,10489,10491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10574,2214,2200,2,5760,10485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10580,2266,2258,1,128,10504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10581,2266,2258,1,2048,10502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10587,2308,2300,1,256,10515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10588,2308,2300,1,1280,10513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10592,2343,2342,1,40,10520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10598,2378,2364,2,57600,10477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10599,2378,2364,2,20,10479,10481,10483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10605,2430,2422,2,128,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10606,2430,2422,2,819200,10498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10617,2549,2548,2,5760,10485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10621,2562,2561,2,5760,10487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10625,2575,2574,2,5760,10489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10629,2588,2587,2,5760,10491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10633,2617,2616,2,256000,15088,15089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10637,2647,2646,2,256000,15223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10643,2684,2676,2,128,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10644,2684,2676,2,819200,10498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10648,2719,2718,1,163840,10496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10652,2732,2731,1,2048,10502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10656,2743,2742,1,163840,10497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660,2756,2755,1,2048,10504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10664,2767,2766,1,163840,10496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10668,2782,2781,1,163840,10497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10672,2801,2800,1,1600,10519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10676,2831,2830,2,256000,15088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10680,2844,2843,2,256000,15223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10684,2878,2877,2,8,10521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10688,2891,2890,1,1600,10519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10691,2099,10459,2,2,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10693,2100,10460,1,1,10459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10695,2101,10461,2,2,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10696,2101,10461,2,2,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10699,2102,10462,2,4,2258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10701,2103,10463,1,1,10462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10703,2104,10464,2,4,2258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10704,2104,10464,2,4,2258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10707,2105,10465,2,40,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10709,2106,10466,1,5,10465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10710,2106,10466,1,5,10465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10712,2107,10467,2,40,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10713,2107,10467,2,40,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10716,2108,10468,2,2,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10718,2109,10469,1,1,10468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10720,2110,10470,2,2,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10721,2110,10470,2,2,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10724,2112,10471,2,224,2364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10726,2113,10472,1,112,10471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10727,2113,10472,1,112,10471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10729,2114,10473,2,224,2364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10730,2114,10473,2,224,2364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733,2115,10474,2,400,14410,14543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10735,2116,10475,1,400,10474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736,2116,10475,1,400,10474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10738,2117,10476,2,400,14410,14543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10739,2117,10476,2,400,14410,14543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10742,2125,10477,2,11520,10478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744,2126,10478,1,11520,2548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10745,2126,10478,1,11520,2548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746,2126,10478,1,11520,2548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10749,2128,10479,2,11520,10480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10751,2129,10480,1,11520,2561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10752,2129,10480,1,11520,2561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10753,2129,10480,1,11520,2561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10756,2131,10481,2,11520,10482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10758,2132,10482,1,11520,2574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10759,2132,10482,1,11520,2574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10760,2132,10482,1,11520,2574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10763,2134,10483,2,11520,10484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10765,2135,10484,1,11520,2587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10766,2135,10484,1,11520,2587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10767,2135,10484,1,11520,2587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10770,2141,10485,2,2880,10486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10772,2142,10486,1,2880,16345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10773,2142,10486,1,2880,16344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10774,2142,10486,1,2880,16345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10777,2143,10487,2,2880,10488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10779,2144,10488,1,2880,16345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10780,2144,10488,1,2880,16345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10781,2144,10488,1,2880,16344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10784,2145,10489,2,2880,10490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10786,2146,10490,1,2880,16344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10787,2146,10490,1,2880,16345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10788,2146,10490,1,2880,16345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10791,2147,10491,2,2880,10492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10793,2148,10492,1,2880,16345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10794,2148,10492,1,2880,16344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10795,2148,10492,1,2880,16345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
