link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29]
5705,14889,15351,2,44032,1252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704,14889,15351,2,44032,1252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5710,15381,15843,2,44032,1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15858,15382,15844,2,44032,15843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15862,15383,15845,2,44032,15844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15866,15384,15846,2,44032,15844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15870,15385,15847,2,44032,15843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15874,15386,15848,2,44032,15847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15878,15387,15849,2,44032,15847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5709,15388,15850,2,44032,1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5708,15388,15850,2,44032,1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5715,15880,16342,2,44032,1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16357,15881,16343,2,44032,16342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16361,15882,16344,2,44032,16343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16365,15883,16345,2,44032,16343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16369,15884,16346,2,44032,16342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16373,15885,16347,2,44032,16346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16377,15886,16348,2,44032,16346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5714,15887,16349,2,44032,1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5713,15887,16349,2,44032,1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5718,16379,16841,2,44032,1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16856,16380,16842,2,44032,16841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16860,16381,16843,2,44032,16842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16864,16382,16844,2,44032,16842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16868,16383,16845,2,44032,16841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16872,16384,16846,2,44032,16845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16876,16385,16847,2,44032,16845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5720,16386,16848,2,44032,1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5719,16386,16848,2,44032,1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5723,16878,17340,2,44032,1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17355,16879,17341,2,44032,17340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17359,16880,17342,2,44032,17341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17363,16881,17343,2,44032,17341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17367,16882,17344,2,44032,17340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17371,16883,17345,2,44032,17344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17375,16884,17346,2,44032,17344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5724,16885,17347,2,44032,1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5725,16885,17347,2,44032,1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5728,17377,17839,2,44032,1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17854,17378,17840,2,44032,17839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17858,17379,17841,2,44032,17840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17862,17380,17842,2,44032,17840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17866,17381,17843,2,44032,17839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17870,17382,17844,2,44032,17843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17874,17383,17845,2,44032,17843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5730,17384,17846,2,44032,1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5729,17384,17846,2,44032,1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5759,17876,18242,2,44032,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5760,17876,18242,2,44032,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
