link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6]
5780,5086,5682,2,65536,5679,,,,,,
5781,5086,5682,2,65536,5680,5681,,,,,
5782,5086,5682,2,65536,5679,,,,,,
5783,5086,5682,2,65536,5679,,,,,,
5789,5087,5683,2,65536,5669,,,,,,
5790,5087,5683,2,65536,5670,,,,,,
5791,5087,5683,2,65536,5681,5682,,,,,
5795,5088,5684,2,65536,5683,,,,,,
5796,5088,5684,2,65536,5683,,,,,,
5802,5089,5685,2,65536,5684,,,,,,
5803,5089,5685,2,65536,5684,,,,,,
5810,5090,5686,2,65536,5685,,,,,,
5811,5090,5686,2,65536,5685,,,,,,
5815,5091,5687,2,65536,5686,,,,,,
5816,5091,5687,2,65536,5686,,,,,,
5817,5091,5687,2,65536,5686,,,,,,
5818,5091,5687,2,65536,5686,,,,,,
5819,5091,5687,2,65536,5686,,,,,,
5821,5092,5688,2,65536,5687,,,,,,
5822,5092,5688,2,65536,5685,5686,5687,,,,
5823,5092,5688,2,65536,5685,,,,,,
5824,5092,5688,2,65536,5685,,,,,,
5825,5092,5688,2,65536,5687,,,,,,
5831,5093,5689,2,65536,5684,,,,,,
5833,5094,5690,2,65536,5689,,,,,,
5834,5094,5690,2,65536,5689,,,,,,
5835,5094,5690,2,65536,5689,,,,,,
5836,5094,5690,2,65536,5689,,,,,,
5837,5094,5690,2,65536,5689,,,,,,
5840,5095,5691,2,65536,5678,,,,,,
5841,5095,5691,2,65536,5688,,,,,,
5842,5095,5691,2,65536,5683,,,,,,
5843,5095,5691,2,65536,5690,,,,,,
5852,5096,5692,2,65536,5678,5691,,,,,
5857,5097,5693,2,65536,5692,,,,,,
5859,5098,5694,2,65536,5693,,,,,,
5860,5098,5694,2,65536,5693,,,,,,
5861,5098,5694,2,65536,5692,,,,,,
5862,5098,5694,2,65536,5693,,,,,,
5863,5098,5694,2,65536,5692,,,,,,
5868,5099,5695,2,65536,5692,,,,,,
5869,5099,5695,2,65536,5692,,,,,,
5870,5099,5695,2,65536,5692,,,,,,
5872,5100,5696,2,65536,5695,,,,,,
5873,5100,5696,2,65536,5695,,,,,,
5879,5101,5697,2,65536,5691,,,,,,
5880,5101,5697,2,65536,5695,5696,,,,,
5883,5102,5698,2,65536,5697,,,,,,
5884,5102,5698,2,65536,5697,,,,,,
5885,5102,5698,2,65536,5697,,,,,,
5890,5103,5699,2,65536,5697,,,,,,
5891,5103,5699,2,65536,5698,,,,,,
5892,5103,5699,2,65536,5698,,,,,,
1719,5104,5700,2,65536,759,,,,,,
1720,5104,5700,2,65536,759,,,,,,
5894,5104,5700,2,65536,5669,,,,,,
