link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17]
8980,8779,8777,2,22528,8935,,,,,,,,,,,,,,,,,
8934,8858,8856,2,22528,8935,,,,,,,,,,,,,,,,,
8971,8936,8935,2,22528,4741,,,,,,,,,,,,,,,,,
4841,8981,9522,2,22528,12209,,,,,,,,,,,,,,,,,
4838,8981,9522,2,22528,12205,,,,,,,,,,,,,,,,,
4836,8981,9522,2,22528,12441,,,,,,,,,,,,,,,,,
4835,8981,9522,2,22528,12207,,,,,,,,,,,,,,,,,
4842,8982,9523,2,22528,12440,,,,,,,,,,,,,,,,,
4843,8982,9523,2,22528,12438,,,,,,,,,,,,,,,,,
4840,8982,9523,2,22528,12673,,,,,,,,,,,,,,,,,
9556,8982,9523,2,22528,9522,,,,,,,,,,,,,,,,,
4837,8983,9524,2,22528,12670,,,,,,,,,,,,,,,,,
4839,8983,9524,2,22528,12672,,,,,,,,,,,,,,,,,
9559,8983,9524,2,22528,9522,9523,,,,,,,,,,,,,,,,
9560,8983,9524,2,22528,9522,9523,,,,,,,,,,,,,,,,
9564,8984,9525,2,22528,9524,,,,,,,,,,,,,,,,,
9568,8985,9526,2,22528,9525,,,,,,,,,,,,,,,,,
9572,8986,9527,2,22528,9526,,,,,,,,,,,,,,,,,
9573,8986,9527,2,22528,9526,,,,,,,,,,,,,,,,,
9576,8987,9528,2,22528,9527,,,,,,,,,,,,,,,,,
9581,8988,9529,2,22528,9527,9528,,,,,,,,,,,,,,,,
9582,8988,9529,2,22528,9525,,,,,,,,,,,,,,,,,
9587,8989,9530,2,22528,9529,,,,,,,,,,,,,,,,,
9588,8989,9530,2,22528,9528,,,,,,,,,,,,,,,,,
9592,8990,9531,2,22528,9524,,,,,,,,,,,,,,,,,
9596,8991,9532,2,22528,9531,,,,,,,,,,,,,,,,,
9601,8992,9533,2,22528,9532,,,,,,,,,,,,,,,,,
9602,8992,9533,2,22528,9532,,,,,,,,,,,,,,,,,
9607,8993,9534,2,22528,9533,,,,,,,,,,,,,,,,,
9608,8993,9534,2,22528,9531,,,,,,,,,,,,,,,,,
9609,8993,9534,2,22528,9533,,,,,,,,,,,,,,,,,
9610,8993,9534,2,22528,9533,,,,,,,,,,,,,,,,,
9615,8994,9535,2,22528,9534,,,,,,,,,,,,,,,,,
9616,8994,9535,2,22528,9534,,,,,,,,,,,,,,,,,
9620,8995,9536,2,22528,9534,9535,,,,,,,,,,,,,,,,
9624,8996,9537,2,22528,9530,9534,,,,,,,,,,,,,,,,
9629,8997,9538,2,22528,9530,9537,,,,,,,,,,,,,,,,
9630,8997,9538,2,22528,9530,9537,,,,,,,,,,,,,,,,
9635,8998,9539,2,22528,9535,9538,,,,,,,,,,,,,,,,
9636,8998,9539,2,22528,9535,9538,,,,,,,,,,,,,,,,
9641,8999,9540,2,22528,9536,,,,,,,,,,,,,,,,,
9642,8999,9540,2,22528,9536,,,,,,,,,,,,,,,,,
9643,8999,9540,2,22528,9530,9537,9538,,,,,,,,,,,,,,,
9644,8999,9540,2,22528,9535,9538,9539,,,,,,,,,,,,,,,
9649,9000,9541,2,22528,9540,,,,,,,,,,,,,,,,,
9650,9000,9541,2,22528,9540,,,,,,,,,,,,,,,,,
9654,9001,9542,2,22528,9540,9541,,,,,,,,,,,,,,,,
9657,9002,9543,2,22528,9536,9540,,,,,,,,,,,,,,,,
9658,9002,9543,2,22528,9529,,,,,,,,,,,,,,,,,
9662,9003,9544,2,22528,9539,,,,,,,,,,,,,,,,,
9663,9003,9544,2,22528,9539,,,,,,,,,,,,,,,,,
9664,9003,9544,2,22528,9529,9543,,,,,,,,,,,,,,,,
9665,9003,9544,2,22528,9542,,,,,,,,,,,,,,,,,
9669,9004,9545,2,22528,9542,9544,,,,,,,,,,,,,,,,
9673,9005,9546,2,22528,9542,9544,,,,,,,,,,,,,,,,
9676,9006,9547,2,22528,9539,9544,,,,,,,,,,,,,,,,
9677,9006,9547,2,22528,9541,,,,,,,,,,,,,,,,,
9679,9007,9548,2,22528,9545,,,,,,,,,,,,,,,,,
9680,9007,9548,2,22528,9545,,,,,,,,,,,,,,,,,
9681,9007,9548,2,22528,9541,9547,,,,,,,,,,,,,,,,
9682,9007,9548,2,22528,9545,,,,,,,,,,,,,,,,,
9685,9008,9549,2,22528,9541,9547,,,,,,,,,,,,,,,,
9686,9008,9549,2,22528,9546,,,,,,,,,,,,,,,,,
9688,9009,9550,2,22528,9529,9543,,,,,,,,,,,,,,,,
9689,9009,9550,2,22528,9546,9549,,,,,,,,,,,,,,,,
9690,9009,9550,2,22528,9546,9549,,,,,,,,,,,,,,,,
4856,9691,10299,2,22528,12208,,,,,,,,,,,,,,,,,
4854,9691,10299,2,22528,12206,,,,,,,,,,,,,,,,,
4853,9691,10299,2,22528,12209,,,,,,,,,,,,,,,,,
4851,9691,10299,2,22528,12441,,,,,,,,,,,,,,,,,
4859,9692,10300,2,22528,12673,,,,,,,,,,,,,,,,,
4858,9692,10300,2,22528,12440,,,,,,,,,,,,,,,,,
4857,9692,10300,2,22528,12438,,,,,,,,,,,,,,,,,
