link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19]
8312,8178,8176,2,131072,9776,,,,,,,,,,,,,,,,,,,
9590,8178,8176,2,16384,9973,10166,10359,10556,10749,10938,11131,,,,,,,,,,,,,
9591,8178,8176,2,131072,9776,,,,,,,,,,,,,,,,,,,
8451,8316,8314,2,16384,9973,10166,10359,10556,10749,10938,11131,,,,,,,,,,,,,
8450,8316,8314,2,131072,9776,,,,,,,,,,,,,,,,,,,
9592,8316,8314,2,16384,9972,10166,10358,10555,10749,10938,11131,,,,,,,,,,,,,
9593,8316,8314,2,131072,9776,,,,,,,,,,,,,,,,,,,
8589,8454,8452,2,16384,9973,10166,10359,10556,10749,10938,11131,,,,,,,,,,,,,
8588,8454,8452,2,131072,9776,,,,,,,,,,,,,,,,,,,
9594,8454,8452,2,131072,9776,,,,,,,,,,,,,,,,,,,
9595,8454,8452,2,16384,9973,10166,10359,10556,10749,10938,11131,,,,,,,,,,,,,
8727,8592,8590,2,16384,9973,10166,10359,10556,10749,10938,11131,,,,,,,,,,,,,
8726,8592,8590,2,131072,9776,,,,,,,,,,,,,,,,,,,
9596,8592,8590,2,16384,9972,10165,10358,10555,10748,10937,11130,,,,,,,,,,,,,
9597,8592,8590,2,131072,9775,,,,,,,,,,,,,,,,,,,
8865,8730,8728,2,16384,9973,10166,10359,10556,10749,10938,11131,,,,,,,,,,,,,
8864,8730,8728,2,131072,9776,,,,,,,,,,,,,,,,,,,
9598,8730,8728,2,16384,9973,10166,10359,10556,10749,10938,11131,,,,,,,,,,,,,
9599,8730,8728,2,131072,9776,,,,,,,,,,,,,,,,,,,
9003,8868,8866,2,16384,9973,10166,10359,10556,10749,10938,11131,,,,,,,,,,,,,
9002,8868,8866,2,131072,9776,,,,,,,,,,,,,,,,,,,
9600,8868,8866,2,131072,9775,,,,,,,,,,,,,,,,,,,
9601,8868,8866,2,16384,9973,10166,10359,10556,10749,10938,11130,,,,,,,,,,,,,
9141,9006,9004,2,16384,9973,10166,10359,10556,10749,10938,11131,,,,,,,,,,,,,
9140,9006,9004,2,131072,9776,,,,,,,,,,,,,,,,,,,
9602,9006,9004,2,16384,9973,10166,10359,10556,10749,10938,11131,,,,,,,,,,,,,
9603,9006,9004,2,131072,9776,,,,,,,,,,,,,,,,,,,
9279,9144,9142,2,16384,9973,10166,10359,10556,10749,10938,11131,,,,,,,,,,,,,
9278,9144,9142,2,131072,9776,,,,,,,,,,,,,,,,,,,
4659,9604,9775,2,16384,4569,,,,,,,,,,,,,,,,,,,
9797,9605,9776,2,131072,9775,,,,,,,,,,,,,,,,,,,
9798,9605,9776,2,131072,9775,,,,,,,,,,,,,,,,,,,
9799,9605,9776,2,131072,9775,,,,,,,,,,,,,,,,,,,
9800,9605,9776,2,131072,9775,,,,,,,,,,,,,,,,,,,
4662,9801,9972,2,16384,4570,,,,,,,,,,,,,,,,,,,
9994,9802,9973,2,131072,9972,,,,,,,,,,,,,,,,,,,
9995,9802,9973,2,131072,9972,,,,,,,,,,,,,,,,,,,
