link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18]
7577,7295,7293,2,8192,8500,8775,9051,,,,,,,,,,,,,,,,
7578,7295,7293,2,32768,8225,,,,,,,,,,,,,,,,,,
7498,7398,7396,2,32768,8225,,,,,,,,,,,,,,,,,,
7497,7398,7396,2,8192,8500,8775,9051,,,,,,,,,,,,,,,,
3386,7579,7672,2,131072,6871,6970,,,,,,,,,,,,,,,,,
3384,7579,7672,2,131072,7087,7190,7293,7396,,,,,,,,,,,,,,,
3383,7579,7672,2,131072,6871,6970,,,,,,,,,,,,,,,,,
3385,7580,7673,2,131072,7087,7190,7293,7396,,,,,,,,,,,,,,,
7678,7580,7673,2,131072,7672,,,,,,,,,,,,,,,,,,
7679,7580,7673,2,131072,7672,,,,,,,,,,,,,,,,,,
7680,7580,7673,2,131072,7672,,,,,,,,,,,,,,,,,,
3409,7681,7934,1,524288,572,,,,,,,,,,,,,,,,,,
7948,7682,7935,1,524288,7934,,,,,,,,,,,,,,,,,,
7953,7683,7936,1,524288,7935,,,,,,,,,,,,,,,,,,
7954,7683,7936,1,524288,7934,,,,,,,,,,,,,,,,,,
7955,7683,7936,1,524288,7935,,,,,,,,,,,,,,,,,,
7958,7684,7937,1,524288,7936,,,,,,,,,,,,,,,,,,
7962,7685,7938,1,524288,7934,7936,,,,,,,,,,,,,,,,,
7964,7686,7939,1,524288,7935,7936,,,,,,,,,,,,,,,,,
7965,7686,7939,1,524288,7938,,,,,,,,,,,,,,,,,,
3410,7687,7940,1,524288,572,,,,,,,,,,,,,,,,,,
3408,7687,7940,1,524288,572,,,,,,,,,,,,,,,,,,
7967,7687,7940,1,524288,7939,,,,,,,,,,,,,,,,,,
3415,7968,8222,2,32768,819,,,,,,,,,,,,,,,,,,
8230,7969,8223,2,32768,8222,,,,,,,,,,,,,,,,,,
8234,7970,8224,2,32768,8223,,,,,,,,,,,,,,,,,,
8238,7971,8225,2,32768,8224,,,,,,,,,,,,,,,,,,
3413,7972,8226,2,32768,819,,,,,,,,,,,,,,,,,,
3414,7972,8226,2,32768,819,,,,,,,,,,,,,,,,,,
8242,7972,8226,2,32768,8224,,,,,,,,,,,,,,,,,,
3418,8243,8497,2,32768,832,,,,,,,,,,,,,,,,,,
8505,8244,8498,2,32768,8497,,,,,,,,,,,,,,,,,,
8509,8245,8499,2,32768,8498,,,,,,,,,,,,,,,,,,
8513,8246,8500,2,32768,8499,,,,,,,,,,,,,,,,,,
3420,8247,8501,2,32768,832,,,,,,,,,,,,,,,,,,
3419,8247,8501,2,32768,832,,,,,,,,,,,,,,,,,,
8517,8247,8501,2,32768,8499,,,,,,,,,,,,,,,,,,
3423,8518,8772,2,32768,845,,,,,,,,,,,,,,,,,,
8780,8519,8773,2,32768,8772,,,,,,,,,,,,,,,,,,
8784,8520,8774,2,32768,8773,,,,,,,,,,,,,,,,,,
8788,8521,8775,2,32768,8774,,,,,,,,,,,,,,,,,,
3425,8522,8776,2,32768,845,,,,,,,,,,,,,,,,,,
3424,8522,8776,2,32768,845,,,,,,,,,,,,,,,,,,
8792,8522,8776,2,32768,8774,,,,,,,,,,,,,,,,,,
3428,8793,9047,2,32768,858,,,,,,,,,,,,,,,,,,
9055,8794,9048,2,32768,9047,,,,,,,,,,,,,,,,,,
9059,8795,9049,2,32768,9048,,,,,,,,,,,,,,,,,,
9063,8796,9050,2,32768,9049,,,,,,,,,,,,,,,,,,
3429,8797,9051,2,32768,858,,,,,,,,,,,,,,,,,,
3430,8797,9051,2,32768,858,,,,,,,,,,,,,,,,,,
9067,8797,9051,2,32768,9049,,,,,,,,,,,,,,,,,,
3487,9068,9284,2,32768,7087,7190,7293,7396,,,,,,,,,,,,,,,
3486,9068,9284,2,32768,7087,7190,7293,7396,,,,,,,,,,,,,,,
9294,9069,9285,2,32768,9284,,,,,,,,,,,,,,,,,,
9298,9070,9286,2,32768,9285,,,,,,,,,,,,,,,,,,
9311,9072,9288,2,32768,9649,,,,,,,,,,,,,,,,,,
9312,9072,9288,2,32768,9286,,,,,,,,,,,,,,,,,,
9313,9072,9288,2,32768,9649,,,,,,,,,,,,,,,,,,
9314,9072,9288,2,32768,9648,,,,,,,,,,,,,,,,,,
3509,9315,9472,2,32768,749,,,,,,,,,,,,,,,,,,
3508,9315,9472,2,32768,749,,,,,,,,,,,,,,,,,,
9483,9316,9473,2,32768,9472,,,,,,,,,,,,,,,,,,
9484,9316,9473,2,32768,9472,,,,,,,,,,,,,,,,,,
9489,9317,9474,2,32768,9472,,,,,,,,,,,,,,,,,,
9490,9317,9474,2,32768,9472,,,,,,,,,,,,,,,,,,
3529,9491,9575,1,16384,749,,,,,,,,,,,,,,,,,,
3530,9491,9575,1,16384,749,,,,,,,,,,,,,,,,,,
3528,9492,9576,1,16384,749,,,,,,,,,,,,,,,,,,
9585,9492,9576,1,16384,9575,,,,,,,,,,,,,,,,,,
9586,9492,9576,1,16384,9575,,,,,,,,,,,,,,,,,,
9305,9587,9647,2,32768,9285,,,,,,,,,,,,,,,,,,
9306,9587,9647,2,32768,9284,,,,,,,,,,,,,,,,,,
9655,9588,9648,2,32768,9647,,,,,,,,,,,,,,,,,,
9304,9589,9649,2,32768,9285,,,,,,,,,,,,,,,,,,
9658,9589,9649,2,32768,9647,,,,,,,,,,,,,,,,,,
