link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15]
4282,1059,4083,1,8,4082,,,,,,,,,,,,,,,
4284,1060,4084,2,16384,1124,,,,,,,,,,,,,,,
4285,1060,4084,2,16384,1124,,,,,,,,,,,,,,,
4288,1061,4085,2,16384,1176,,,,,,,,,,,,,,,
4290,1062,4086,1,8,4085,,,,,,,,,,,,,,,
4291,1062,4086,1,8,4085,,,,,,,,,,,,,,,
4293,1063,4087,2,16384,1176,,,,,,,,,,,,,,,
4294,1063,4087,2,16384,1176,,,,,,,,,,,,,,,
4297,1064,4088,2,16384,1228,,,,,,,,,,,,,,,
4299,1065,4089,1,8,4088,,,,,,,,,,,,,,,
4300,1065,4089,1,8,4088,,,,,,,,,,,,,,,
4302,1066,4090,2,16384,1228,,,,,,,,,,,,,,,
4303,1066,4090,2,16384,1228,,,,,,,,,,,,,,,
4306,1067,4091,2,16384,1280,,,,,,,,,,,,,,,
4308,1068,4092,1,8,4091,,,,,,,,,,,,,,,
4309,1068,4092,1,8,4091,,,,,,,,,,,,,,,
4311,1069,4093,2,16384,1280,,,,,,,,,,,,,,,
4312,1069,4093,2,16384,1280,,,,,,,,,,,,,,,
4317,7678,7835,2,8,8449,,,,,,,,,,,,,,,
7844,7679,7836,2,16384,7835,,,,,,,,,,,,,,,
7848,7680,7837,2,16384,7836,,,,,,,,,,,,,,,
7852,7681,7838,2,16384,7837,,,,,,,,,,,,,,,
7856,7682,7839,2,16384,7837,,,,,,,,,,,,,,,
7857,7682,7839,2,16384,7838,,,,,,,,,,,,,,,
7858,7682,7839,2,16384,7838,,,,,,,,,,,,,,,
7859,7682,7839,2,16384,7837,,,,,,,,,,,,,,,
4322,7860,8012,2,8,8449,,,,,,,,,,,,,,,
8023,7861,8013,2,16384,8012,,,,,,,,,,,,,,,
8025,7862,8014,2,16384,8013,,,,,,,,,,,,,,,
8029,7863,8015,2,16384,8012,,,,,,,,,,,,,,,
8030,7863,8015,2,16384,8013,,,,,,,,,,,,,,,
8031,7863,8015,2,16384,8012,,,,,,,,,,,,,,,
8032,7863,8015,2,16384,8013,,,,,,,,,,,,,,,
