link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7]
2278,415,3,1,1,2257,2258,2261,2268,2272,2273,2275,2276
2279,415,3,1,1,2256,,,,,,,
2280,415,3,1,1,2267,,,,,,,
2281,415,3,1,1,2260,,,,,,,
2285,420,419,2,4096,2266,,,,,,,
2289,433,432,2,8192,2254,,,,,,,
2293,443,442,2,8192,2254,,,,,,,
2306,522,514,2,65536,2263,,,,,,,
2307,522,514,2,524288,2262,,,,,,,
2310,395,2254,2,8192,419,432,,,,,,
2311,395,2254,2,8192,419,432,,,,,,
2312,395,2254,2,8192,419,432,,,,,,
2315,396,2255,2,8192,5733,5859,,,,,,
2317,397,2256,1,1024,2255,,,,,,,
2318,397,2256,1,1024,2255,,,,,,,
2320,398,2257,2,8192,5733,5859,,,,,,
2321,398,2257,2,8192,5733,5859,,,,,,
2323,400,2258,1,1024,2260,,,,,,,
2326,401,2259,2,8192,514,,,,,,,
2329,402,2260,1,1024,2259,,,,,,,
2330,402,2260,1,1024,2259,,,,,,,
2332,403,2261,2,8192,514,,,,,,,
2333,403,2261,2,8192,514,,,,,,,
2336,405,2262,2,65536,2264,,,,,,,
2339,406,2263,2,65536,2265,,,,,,,
2341,409,2264,1,65536,2270,,,,,,,
2342,409,2264,1,65536,2270,,,,,,,
2343,409,2264,1,65536,2270,,,,,,,
2345,410,2265,1,65536,2270,,,,,,,
2346,410,2265,1,65536,2270,,,,,,,
2347,410,2265,1,65536,2270,,,,,,,
2352,411,2266,1,512,2269,,,,,,,
2354,412,2267,1,512,2266,,,,,,,
2355,412,2267,1,512,2266,,,,,,,
2357,413,2268,2,4096,2266,,,,,,,
2359,414,2269,1,1,3,,,,,,,
2366,446,2270,1,65536,442,,,,,,,
2367,446,2270,1,65536,442,,,,,,,
2368,446,2270,1,65536,442,,,,,,,
2373,473,2271,2,524288,5733,5859,,,,,,
2374,473,2271,2,524288,5733,5859,,,,,,
2376,474,2272,2,524288,2271,,,,,,,
2377,474,2272,2,524288,2271,,,,,,,
2379,477,2273,2,524288,2271,,,,,,,
2380,477,2273,2,524288,2271,,,,,,,
2385,515,2274,2,524288,514,,,,,,,
2386,515,2274,2,524288,514,,,,,,,
2388,516,2275,2,524288,2274,,,,,,,
2389,516,2275,2,524288,2274,,,,,,,
2391,519,2276,2,524288,2274,,,,,,,
2392,519,2276,2,524288,2274,,,,,,,
5858,5735,5733,2,65536,2263,,,,,,,
5857,5735,5733,2,524288,2262,,,,,,,
6001,5735,5733,2,524288,2262,,,,,,,
6002,5735,5733,2,65536,2263,,,,,,,
5984,5861,5859,2,65536,2263,,,,,,,
5983,5861,5859,2,524288,2262,,,,,,,
