link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22]
3822,768,3599,2,32768,3598,,,,,,,,,,,,,,,,,,,,,,
3824,771,3600,2,32768,3598,,,,,,,,,,,,,,,,,,,,,,
3825,771,3600,2,32768,3598,,,,,,,,,,,,,,,,,,,,,,
3827,774,3601,2,32768,3598,,,,,,,,,,,,,,,,,,,,,,
3828,774,3601,2,32768,3598,,,,,,,,,,,,,,,,,,,,,,
3830,777,3602,2,32768,3598,,,,,,,,,,,,,,,,,,,,,,
3831,777,3602,2,32768,3598,,,,,,,,,,,,,,,,,,,,,,
3838,837,3603,2,43776,836,,,,,,,,,,,,,,,,,,,,,,
3839,837,3603,2,43776,836,,,,,,,,,,,,,,,,,,,,,,
3841,838,3604,2,43776,3603,,,,,,,,,,,,,,,,,,,,,,
3842,838,3604,2,43776,3603,,,,,,,,,,,,,,,,,,,,,,
3844,841,3605,2,43776,3603,,,,,,,,,,,,,,,,,,,,,,
3845,841,3605,2,43776,3603,,,,,,,,,,,,,,,,,,,,,,
3847,844,3606,2,43776,3603,,,,,,,,,,,,,,,,,,,,,,
3848,844,3606,2,43776,3603,,,,,,,,,,,,,,,,,,,,,,
7362,7206,7204,2,10944,8370,8485,,,,,,,,,,,,,,,,,,,,,
7361,7206,7204,2,43776,8255,,,,,,,,,,,,,,,,,,,,,,
7360,7257,7204,2,32768,3568,,,,,,,,,,,,,,,,,,,,,,
7359,7257,7204,2,8192,3571,3570,3569,,,,,,,,,,,,,,,,,,,,
7971,7206,7204,2,43776,8255,,,,,,,,,,,,,,,,,,,,,,
7972,7206,7204,2,10944,8370,8485,,,,,,,,,,,,,,,,,,,,,
7973,7257,7204,2,32768,3568,,,,,,,,,,,,,,,,,,,,,,
7974,7257,7204,2,8192,3571,3570,3569,,,,,,,,,,,,,,,,,,,,
7521,7365,7363,2,10944,8370,8485,,,,,,,,,,,,,,,,,,,,,
7520,7365,7363,2,43776,8255,,,,,,,,,,,,,,,,,,,,,,
7519,7416,7363,2,32768,3568,,,,,,,,,,,,,,,,,,,,,,
7518,7416,7363,2,8192,3571,3570,3569,,,,,,,,,,,,,,,,,,,,
7975,7416,7363,2,32768,3568,,,,,,,,,,,,,,,,,,,,,,
7976,7365,7363,2,10944,8369,8484,,,,,,,,,,,,,,,,,,,,,
7977,7416,7363,2,8192,3571,3570,3569,,,,,,,,,,,,,,,,,,,,
7978,7365,7363,2,43776,8254,,,,,,,,,,,,,,,,,,,,,,
7680,7524,7522,2,10944,8369,8484,,,,,,,,,,,,,,,,,,,,,
7679,7524,7522,2,43776,8254,,,,,,,,,,,,,,,,,,,,,,
7678,7575,7522,2,32768,3568,,,,,,,,,,,,,,,,,,,,,,
7677,7575,7522,2,8192,3571,3570,3569,,,,,,,,,,,,,,,,,,,,
7979,7575,7522,2,32768,3568,,,,,,,,,,,,,,,,,,,,,,
7980,7524,7522,2,10944,8369,8484,,,,,,,,,,,,,,,,,,,,,
