link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13]
7961,7185,7876,2,32768,7875,,,,,,,,,,,,,
7967,7186,7877,2,32768,7874,7876,,,,,,,,,,,,
7968,7186,7877,2,32768,7869,,,,,,,,,,,,,
7969,7186,7877,2,32768,7869,,,,,,,,,,,,,
7970,7186,7877,2,32768,7868,,,,,,,,,,,,,
7975,7187,7878,2,32768,7877,,,,,,,,,,,,,
7979,7188,7879,2,32768,7878,,,,,,,,,,,,,
7980,7188,7879,2,32768,7878,,,,,,,,,,,,,
7984,7189,7880,2,32768,7879,,,,,,,,,,,,,
7985,7189,7880,2,32768,7879,,,,,,,,,,,,,
7991,7190,7881,2,32768,7868,7877,,,,,,,,,,,,
7992,7190,7881,2,32768,7878,,,,,,,,,,,,,
7993,7190,7881,2,32768,7878,7879,7880,,,,,,,,,,,
7994,7190,7881,2,32768,7880,,,,,,,,,,,,,
7995,7190,7881,2,32768,7877,,,,,,,,,,,,,
8000,7191,7882,2,32768,7881,,,,,,,,,,,,,
8001,7191,7882,2,32768,7881,,,,,,,,,,,,,
8002,7191,7882,2,32768,7881,,,,,,,,,,,,,
8007,7192,7883,2,32768,7882,,,,,,,,,,,,,
8009,7193,7884,2,32768,7883,,,,,,,,,,,,,
8010,7193,7884,2,32768,7883,,,,,,,,,,,,,
8011,7193,7884,2,32768,7882,,,,,,,,,,,,,
8012,7193,7884,2,32768,7883,,,,,,,,,,,,,
8013,7193,7884,2,32768,7883,,,,,,,,,,,,,
8020,7194,7885,2,32768,7884,,,,,,,,,,,,,
8021,7194,7885,2,32768,7882,,,,,,,,,,,,,
8027,7195,7886,2,32768,7885,,,,,,,,,,,,,
8028,7195,7886,2,32768,7885,,,,,,,,,,,,,
8033,7196,7887,2,32768,7886,,,,,,,,,,,,,
8034,7196,7887,2,32768,7886,,,,,,,,,,,,,
8035,7196,7887,2,32768,7886,,,,,,,,,,,,,
8037,7197,7888,2,32768,7885,,,,,,,,,,,,,
8038,7197,7888,2,32768,7885,,,,,,,,,,,,,
8039,7197,7888,2,32768,7885,,,,,,,,,,,,,
8040,7197,7888,2,32768,7886,7887,,,,,,,,,,,,
8041,7197,7888,2,32768,7887,,,,,,,,,,,,,
8045,7198,7889,2,32768,7885,,,,,,,,,,,,,
8046,7198,7889,2,32768,7882,,,,,,,,,,,,,
8047,7198,7889,2,32768,7877,,,,,,,,,,,,,
8048,7198,7889,2,32768,7886,7887,7888,,,,,,,,,,,
8049,7198,7889,2,32768,7887,,,,,,,,,,,,,
8058,7199,7890,2,32768,7889,,,,,,,,,,,,,
8059,7199,7890,2,32768,7889,,,,,,,,,,,,,
8062,7200,7891,2,32768,7890,,,,,,,,,,,,,
8063,7200,7891,2,32768,7890,,,,,,,,,,,,,
8065,7201,7892,2,32768,7890,,,,,,,,,,,,,
8066,7201,7892,2,32768,7891,,,,,,,,,,,,,
8071,7202,7893,2,32768,7890,,,,,,,,,,,,,
8072,7202,7893,2,32768,7890,,,,,,,,,,,,,
8073,7202,7893,2,32768,7890,,,,,,,,,,,,,
8074,7202,7893,2,32768,7890,,,,,,,,,,,,,
8077,7203,7894,2,32768,7893,,,,,,,,,,,,,
8078,7203,7894,2,32768,7893,,,,,,,,,,,,,
8079,7203,7894,2,32768,7893,,,,,,,,,,,,,
8084,7204,7895,2,32768,7894,,,,,,,,,,,,,
8085,7204,7895,2,32768,7894,,,,,,,,,,,,,
8086,7204,7895,2,32768,7889,,,,,,,,,,,,,
8090,7205,7896,2,32768,7895,,,,,,,,,,,,,
8091,7205,7896,2,32768,7895,,,,,,,,,,,,,
8096,7206,7897,2,32768,7895,,,,,,,,,,,,,
8097,7206,7897,2,32768,7896,,,,,,,,,,,,,
8098,7206,7897,2,32768,7896,,,,,,,,,,,,,
8099,7206,7897,2,32768,7896,,,,,,,,,,,,,
3801,7207,7898,2,32768,1485,,,,,,,,,,,,,
3802,7207,7898,2,32768,1485,,,,,,,,,,,,,
8101,7207,7898,2,32768,7897,,,,,,,,,,,,,
3811,8102,8752,2,32768,1498,,,,,,,,,,,,,
8796,8103,8753,2,32768,8752,,,,,,,,,,,,,
8797,8103,8753,2,32768,8752,,,,,,,,,,,,,
8798,8103,8753,2,32768,8752,,,,,,,,,,,,,
8799,8103,8753,2,32768,8752,,,,,,,,,,,,,
8807,8104,8754,2,32768,8753,,,,,,,,,,,,,
8813,8105,8755,2,32768,8754,,,,,,,,,,,,,
8814,8105,8755,2,32768,8754,,,,,,,,,,,,,
8815,8105,8755,2,32768,8754,,,,,,,,,,,,,
8817,8106,8756,2,32768,8755,,,,,,,,,,,,,
8818,8106,8756,2,32768,8755,,,,,,,,,,,,,
8819,8106,8756,2,32768,8755,,,,,,,,,,,,,
8820,8106,8756,2,32768,8754,,,,,,,,,,,,,
8823,8107,8757,2,32768,8754,,,,,,,,,,,,,
8824,8107,8757,2,32768,8754,,,,,,,,,,,,,
8825,8107,8757,2,32768,8756,,,,,,,,,,,,,
8826,8107,8757,2,32768,8755,,,,,,,,,,,,,
8827,8107,8757,2,32768,8754,,,,,,,,,,,,,
8830,8108,8758,2,32768,8752,,,,,,,,,,,,,
8831,8108,8758,2,32768,8753,,,,,,,,,,,,,
8836,8109,8759,2,32768,8758,,,,,,,,,,,,,
8839,8110,8760,2,32768,8759,,,,,,,,,,,,,
8840,8110,8760,2,32768,8759,,,,,,,,,,,,,
8844,8111,8761,2,32768,8759,8760,,,,,,,,,,,,
8845,8111,8761,2,32768,8759,,,,,,,,,,,,,
8846,8111,8761,2,32768,8760,,,,,,,,,,,,,
8850,8112,8762,2,32768,8761,,,,,,,,,,,,,
8851,8112,8762,2,32768,8761,,,,,,,,,,,,,
8856,8113,8763,2,32768,8762,,,,,,,,,,,,,
8861,8114,8764,2,32768,8763,,,,,,,,,,,,,
8862,8114,8764,2,32768,8763,,,,,,,,,,,,,
8863,8114,8764,2,32768,8763,,,,,,,,,,,,,
8864,8114,8764,2,32768,8762,,,,,,,,,,,,,
8866,8115,8765,2,32768,8763,8764,,,,,,,,,,,,
8867,8115,8765,2,32768,8762,8764,,,,,,,,,,,,
8868,8115,8765,2,32768,8764,,,,,,,,,,,,,
8869,8115,8765,2,32768,8761,,,,,,,,,,,,,
