link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27]
8172,1750,7932,2,10240,1856,,,,,,,,,,,,,,,,,,,,,,,,,,,
8175,1751,7933,2,10240,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,
8177,1752,7934,1,5,7933,,,,,,,,,,,,,,,,,,,,,,,,,,,
8178,1752,7934,1,5,7933,,,,,,,,,,,,,,,,,,,,,,,,,,,
8180,1753,7935,2,10240,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,
8181,1753,7935,2,10240,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,
8184,1754,7936,2,10240,2038,,,,,,,,,,,,,,,,,,,,,,,,,,,
8186,1755,7937,1,5,7936,,,,,,,,,,,,,,,,,,,,,,,,,,,
8187,1755,7937,1,5,7936,,,,,,,,,,,,,,,,,,,,,,,,,,,
8189,1756,7938,2,10240,2038,,,,,,,,,,,,,,,,,,,,,,,,,,,
8190,1756,7938,2,10240,2038,,,,,,,,,,,,,,,,,,,,,,,,,,,
8193,1757,7939,2,10240,2129,,,,,,,,,,,,,,,,,,,,,,,,,,,
8195,1758,7940,1,5,7939,,,,,,,,,,,,,,,,,,,,,,,,,,,
8196,1758,7940,1,5,7939,,,,,,,,,,,,,,,,,,,,,,,,,,,
8198,1759,7941,2,10240,2129,,,,,,,,,,,,,,,,,,,,,,,,,,,
8199,1759,7941,2,10240,2129,,,,,,,,,,,,,,,,,,,,,,,,,,,
8202,1761,7942,2,10240,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,
8204,1762,7943,1,5,7942,,,,,,,,,,,,,,,,,,,,,,,,,,,
8205,1762,7943,1,5,7942,,,,,,,,,,,,,,,,,,,,,,,,,,,
8207,1763,7944,2,10240,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,
8208,1763,7944,2,10240,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,
8211,1764,7945,2,10240,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,
8213,1765,7946,1,5,7945,,,,,,,,,,,,,,,,,,,,,,,,,,,
8214,1765,7946,1,5,7945,,,,,,,,,,,,,,,,,,,,,,,,,,,
8216,1766,7947,2,10240,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,
8217,1766,7947,2,10240,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,
8220,1767,7948,2,10240,2051,,,,,,,,,,,,,,,,,,,,,,,,,,,
8222,1768,7949,1,5,7948,,,,,,,,,,,,,,,,,,,,,,,,,,,
8223,1768,7949,1,5,7948,,,,,,,,,,,,,,,,,,,,,,,,,,,
8225,1769,7950,2,10240,2051,,,,,,,,,,,,,,,,,,,,,,,,,,,
8226,1769,7950,2,10240,2051,,,,,,,,,,,,,,,,,,,,,,,,,,,
8229,1770,7951,2,10240,2142,,,,,,,,,,,,,,,,,,,,,,,,,,,
8231,1771,7952,1,5,7951,,,,,,,,,,,,,,,,,,,,,,,,,,,
8232,1771,7952,1,5,7951,,,,,,,,,,,,,,,,,,,,,,,,,,,
8234,1772,7953,2,10240,2142,,,,,,,,,,,,,,,,,,,,,,,,,,,
8235,1772,7953,2,10240,2142,,,,,,,,,,,,,,,,,,,,,,,,,,,
8238,1774,7954,2,10240,1882,,,,,,,,,,,,,,,,,,,,,,,,,,,
8240,1775,7955,1,5,7954,,,,,,,,,,,,,,,,,,,,,,,,,,,
8241,1775,7955,1,5,7954,,,,,,,,,,,,,,,,,,,,,,,,,,,
8243,1776,7956,2,10240,1882,,,,,,,,,,,,,,,,,,,,,,,,,,,
8244,1776,7956,2,10240,1882,,,,,,,,,,,,,,,,,,,,,,,,,,,
8247,1777,7957,2,10240,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,
8249,1778,7958,1,5,7957,,,,,,,,,,,,,,,,,,,,,,,,,,,
8250,1778,7958,1,5,7957,,,,,,,,,,,,,,,,,,,,,,,,,,,
8252,1779,7959,2,10240,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,
8253,1779,7959,2,10240,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,
8256,1780,7960,2,10240,2064,,,,,,,,,,,,,,,,,,,,,,,,,,,
8258,1781,7961,1,5,7960,,,,,,,,,,,,,,,,,,,,,,,,,,,
8259,1781,7961,1,5,7960,,,,,,,,,,,,,,,,,,,,,,,,,,,
8261,1782,7962,2,10240,2064,,,,,,,,,,,,,,,,,,,,,,,,,,,
8262,1782,7962,2,10240,2064,,,,,,,,,,,,,,,,,,,,,,,,,,,
8265,1783,7963,2,10240,2155,,,,,,,,,,,,,,,,,,,,,,,,,,,
8267,1784,7964,1,5,7963,,,,,,,,,,,,,,,,,,,,,,,,,,,
8268,1784,7964,1,5,7963,,,,,,,,,,,,,,,,,,,,,,,,,,,
8270,1785,7965,2,10240,2155,,,,,,,,,,,,,,,,,,,,,,,,,,,
8271,1785,7965,2,10240,2155,,,,,,,,,,,,,,,,,,,,,,,,,,,
8274,1787,7966,2,10240,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,
8276,1788,7967,1,5,7966,,,,,,,,,,,,,,,,,,,,,,,,,,,
8277,1788,7967,1,5,7966,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279,1789,7968,2,10240,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,
8280,1789,7968,2,10240,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,
8283,1790,7969,2,10240,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,
8285,1791,7970,1,5,7969,,,,,,,,,,,,,,,,,,,,,,,,,,,
8286,1791,7970,1,5,7969,,,,,,,,,,,,,,,,,,,,,,,,,,,
8288,1792,7971,2,10240,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,
8289,1792,7971,2,10240,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,
8292,1793,7972,2,10240,2077,,,,,,,,,,,,,,,,,,,,,,,,,,,
8294,1794,7973,1,5,7972,,,,,,,,,,,,,,,,,,,,,,,,,,,
8295,1794,7973,1,5,7972,,,,,,,,,,,,,,,,,,,,,,,,,,,
8297,1795,7974,2,10240,2077,,,,,,,,,,,,,,,,,,,,,,,,,,,
8298,1795,7974,2,10240,2077,,,,,,,,,,,,,,,,,,,,,,,,,,,
8301,1796,7975,2,10240,2168,,,,,,,,,,,,,,,,,,,,,,,,,,,
8303,1797,7976,1,5,7975,,,,,,,,,,,,,,,,,,,,,,,,,,,
8304,1797,7976,1,5,7975,,,,,,,,,,,,,,,,,,,,,,,,,,,
8306,1798,7977,2,10240,2168,,,,,,,,,,,,,,,,,,,,,,,,,,,
8307,1798,7977,2,10240,2168,,,,,,,,,,,,,,,,,,,,,,,,,,,
8310,1800,7978,2,10240,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,
8312,1801,7979,1,5,7978,,,,,,,,,,,,,,,,,,,,,,,,,,,
8313,1801,7979,1,5,7978,,,,,,,,,,,,,,,,,,,,,,,,,,,
8315,1802,7980,2,10240,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,
8316,1802,7980,2,10240,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,
8319,1803,7981,2,10240,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,
8321,1804,7982,1,5,7981,,,,,,,,,,,,,,,,,,,,,,,,,,,
8322,1804,7982,1,5,7981,,,,,,,,,,,,,,,,,,,,,,,,,,,
8324,1805,7983,2,10240,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,
8325,1805,7983,2,10240,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,
8328,1806,7984,2,10240,2090,,,,,,,,,,,,,,,,,,,,,,,,,,,
8330,1807,7985,1,5,7984,,,,,,,,,,,,,,,,,,,,,,,,,,,
8331,1807,7985,1,5,7984,,,,,,,,,,,,,,,,,,,,,,,,,,,
8333,1808,7986,2,10240,2090,,,,,,,,,,,,,,,,,,,,,,,,,,,
8334,1808,7986,2,10240,2090,,,,,,,,,,,,,,,,,,,,,,,,,,,
8337,1809,7987,2,10240,2181,,,,,,,,,,,,,,,,,,,,,,,,,,,
8339,1810,7988,1,5,7987,,,,,,,,,,,,,,,,,,,,,,,,,,,
8340,1810,7988,1,5,7987,,,,,,,,,,,,,,,,,,,,,,,,,,,
8342,1811,7989,2,10240,2181,,,,,,,,,,,,,,,,,,,,,,,,,,,
8343,1811,7989,2,10240,2181,,,,,,,,,,,,,,,,,,,,,,,,,,,
8346,1813,7990,2,10240,1921,,,,,,,,,,,,,,,,,,,,,,,,,,,
8348,1814,7991,1,5,7990,,,,,,,,,,,,,,,,,,,,,,,,,,,
8349,1814,7991,1,5,7990,,,,,,,,,,,,,,,,,,,,,,,,,,,
8351,1815,7992,2,10240,1921,,,,,,,,,,,,,,,,,,,,,,,,,,,
8352,1815,7992,2,10240,1921,,,,,,,,,,,,,,,,,,,,,,,,,,,
8355,1816,7993,2,10240,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
8357,1817,7994,1,5,7993,,,,,,,,,,,,,,,,,,,,,,,,,,,
8358,1817,7994,1,5,7993,,,,,,,,,,,,,,,,,,,,,,,,,,,
8360,1818,7995,2,10240,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
8361,1818,7995,2,10240,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
8364,1819,7996,2,10240,2103,,,,,,,,,,,,,,,,,,,,,,,,,,,
8366,1820,7997,1,5,7996,,,,,,,,,,,,,,,,,,,,,,,,,,,
8367,1820,7997,1,5,7996,,,,,,,,,,,,,,,,,,,,,,,,,,,
8369,1821,7998,2,10240,2103,,,,,,,,,,,,,,,,,,,,,,,,,,,
8370,1821,7998,2,10240,2103,,,,,,,,,,,,,,,,,,,,,,,,,,,
8373,1822,7999,2,10240,2194,,,,,,,,,,,,,,,,,,,,,,,,,,,
8375,1823,8000,1,5,7999,,,,,,,,,,,,,,,,,,,,,,,,,,,
8376,1823,8000,1,5,7999,,,,,,,,,,,,,,,,,,,,,,,,,,,
8378,1824,8001,2,10240,2194,,,,,,,,,,,,,,,,,,,,,,,,,,,
8379,1824,8001,2,10240,2194,,,,,,,,,,,,,,,,,,,,,,,,,,,
8384,11763,11903,2,5,12986,12987,,,,,,,,,,,,,,,,,,,,,,,,,,
11915,11764,11904,2,10240,11903,,,,,,,,,,,,,,,,,,,,,,,,,,,
11916,11764,11904,2,10240,11903,,,,,,,,,,,,,,,,,,,,,,,,,,,
11917,11764,11904,2,10240,11903,,,,,,,,,,,,,,,,,,,,,,,,,,,
11921,11765,11905,2,10240,11903,,,,,,,,,,,,,,,,,,,,,,,,,,,
11922,11765,11905,2,10240,11903,,,,,,,,,,,,,,,,,,,,,,,,,,,
11923,11765,11905,2,10240,11903,,,,,,,,,,,,,,,,,,,,,,,,,,,
11924,11765,11905,2,10240,11903,,,,,,,,,,,,,,,,,,,,,,,,,,,
8389,11925,12059,2,5,12987,,,,,,,,,,,,,,,,,,,,,,,,,,,
12069,11926,12060,2,10240,12059,,,,,,,,,,,,,,,,,,,,,,,,,,,
12070,11926,12060,2,10240,12059,,,,,,,,,,,,,,,,,,,,,,,,,,,
12073,11927,12061,2,10240,12059,,,,,,,,,,,,,,,,,,,,,,,,,,,
