link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11]
7484,7001,7366,2,32768,7364,,,,,,,,,,,
3158,7485,7875,2,32768,3093,,,,,,,,,,,
3160,7485,7875,2,32768,3093,,,,,,,,,,,
3157,7485,7875,2,32768,3094,,,,,,,,,,,
3161,7485,7875,2,32768,3094,,,,,,,,,,,
3159,7485,7875,2,32768,3094,,,,,,,,,,,
3162,7485,7875,2,32768,3093,,,,,,,,,,,
7897,7486,7876,2,32768,7875,,,,,,,,,,,
7903,7487,7877,2,32768,7876,,,,,,,,,,,
7904,7487,7877,2,32768,7876,,,,,,,,,,,
7912,7488,7878,2,32768,7876,,,,,,,,,,,
7913,7488,7878,2,32768,7877,,,,,,,,,,,
7914,7488,7878,2,32768,7876,,,,,,,,,,,
7918,7489,7879,2,32768,7878,,,,,,,,,,,
7919,7489,7879,2,32768,7878,,,,,,,,,,,
7920,7489,7879,2,32768,7878,,,,,,,,,,,
7930,7490,7880,2,32768,7878,,,,,,,,,,,
7931,7490,7880,2,32768,7878,7879,,,,,,,,,,
7932,7490,7880,2,32768,7878,7879,,,,,,,,,,
7936,7491,7881,2,32768,7880,,,,,,,,,,,
7937,7491,7881,2,32768,7880,,,,,,,,,,,
7942,7492,7882,2,32768,7881,,,,,,,,,,,
7943,7492,7882,2,32768,7879,7881,,,,,,,,,,
7953,7493,7883,2,32768,7882,,,,,,,,,,,
7954,7493,7883,2,32768,7880,7882,,,,,,,,,,
7955,7493,7883,2,32768,7880,7882,,,,,,,,,,
7956,7493,7883,2,32768,7880,7882,,,,,,,,,,
7962,7494,7884,2,32768,7883,,,,,,,,,,,
7963,7494,7884,2,32768,7883,,,,,,,,,,,
7964,7494,7884,2,32768,7880,7883,,,,,,,,,,
7965,7494,7884,2,32768,7880,7883,,,,,,,,,,
7973,7495,7885,2,32768,7880,7883,7884,,,,,,,,,
7974,7495,7885,2,32768,7883,7884,,,,,,,,,,
7975,7495,7885,2,32768,7877,,,,,,,,,,,
7976,7495,7885,2,32768,7877,,,,,,,,,,,
7982,7496,7886,2,32768,7884,,,,,,,,,,,
7983,7496,7886,2,32768,7883,7885,,,,,,,,,,
7984,7496,7886,2,32768,7884,,,,,,,,,,,
7985,7496,7886,2,32768,7883,7885,,,,,,,,,,
7990,7497,7887,2,32768,7885,,,,,,,,,,,
7991,7497,7887,2,32768,7885,,,,,,,,,,,
7992,7497,7887,2,32768,7883,7885,7886,,,,,,,,,
7993,7497,7887,2,32768,7884,7886,,,,,,,,,,
7998,7498,7888,2,32768,7887,,,,,,,,,,,
7999,7498,7888,2,32768,7885,7887,,,,,,,,,,
8000,7498,7888,2,32768,7887,,,,,,,,,,,
8001,7498,7888,2,32768,7887,,,,,,,,,,,
8003,7499,7889,2,32768,7877,7885,,,,,,,,,,
8004,7499,7889,2,32768,7886,7888,,,,,,,,,,
8005,7499,7889,2,32768,7886,7888,,,,,,,,,,
8006,7499,7889,2,32768,7886,7888,,,,,,,,,,
3197,8007,8081,2,32768,808,,,,,,,,,,,
3198,8007,8081,2,32768,808,,,,,,,,,,,
8097,8008,8082,2,32768,8081,,,,,,,,,,,
8098,8008,8082,2,32768,8081,,,,,,,,,,,
8099,8008,8082,2,32768,8081,,,,,,,,,,,
8100,8008,8082,2,32768,8081,,,,,,,,,,,
3224,8101,8177,2,32768,851,,,,,,,,,,,
3225,8101,8177,2,32768,851,,,,,,,,,,,
8194,8102,8178,2,32768,8177,,,,,,,,,,,
8195,8102,8178,2,32768,8177,,,,,,,,,,,
8196,8102,8178,2,32768,8177,,,,,,,,,,,
8197,8102,8178,2,32768,8177,,,,,,,,,,,
8198,8102,8178,2,32768,8177,,,,,,,,,,,
