link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17]
7251,7144,7142,2,87552,3444,,,,,,,,,,,,,,,,,
7250,7144,7142,2,10944,3446,3445,,,,,,,,,,,,,,,,
7531,7144,7142,2,10944,3446,3445,,,,,,,,,,,,,,,,
7532,7144,7142,2,87552,3444,,,,,,,,,,,,,,,,,
7361,7254,7252,2,87552,3444,,,,,,,,,,,,,,,,,
7360,7254,7252,2,10944,3446,3445,,,,,,,,,,,,,,,,
7533,7254,7252,2,87552,3444,,,,,,,,,,,,,,,,,
7534,7254,7252,2,10944,3446,3445,,,,,,,,,,,,,,,,
7471,7364,7362,2,87552,3444,,,,,,,,,,,,,,,,,
7470,7364,7362,2,10944,3446,3445,,,,,,,,,,,,,,,,
7644,7537,7535,2,87552,3450,,,,,,,,,,,,,,,,,
7643,7537,7535,2,10944,3452,3451,,,,,,,,,,,,,,,,
8032,7537,7535,2,87552,3450,,,,,,,,,,,,,,,,,
8033,7537,7535,2,10944,3452,3451,,,,,,,,,,,,,,,,
7754,7647,7645,2,87552,3450,,,,,,,,,,,,,,,,,
7753,7647,7645,2,10944,3452,3451,,,,,,,,,,,,,,,,
8034,7647,7645,2,87552,3450,,,,,,,,,,,,,,,,,
8035,7647,7645,2,10944,3452,3451,,,,,,,,,,,,,,,,
7864,7757,7755,2,87552,3450,,,,,,,,,,,,,,,,,
7863,7757,7755,2,10944,3452,3451,,,,,,,,,,,,,,,,
8036,7757,7755,2,87552,3450,,,,,,,,,,,,,,,,,
8037,7757,7755,2,10944,3452,3451,,,,,,,,,,,,,,,,
7974,7867,7865,2,87552,3450,,,,,,,,,,,,,,,,,
7973,7867,7865,2,10944,3452,3451,,,,,,,,,,,,,,,,
3573,8038,8239,2,87552,858,871,,,,,,,,,,,,,,,,
8251,8039,8240,2,87552,8239,,,,,,,,,,,,,,,,,
8252,8039,8240,2,87552,8239,,,,,,,,,,,,,,,,,
8256,8040,8241,2,87552,8240,,,,,,,,,,,,,,,,,
8257,8040,8241,2,87552,8239,,,,,,,,,,,,,,,,,
8258,8040,8241,2,87552,8240,,,,,,,,,,,,,,,,,
3572,8041,8242,2,87552,858,871,,,,,,,,,,,,,,,,
3574,8041,8242,2,87552,858,871,,,,,,,,,,,,,,,,
8260,8041,8242,2,87552,8241,,,,,,,,,,,,,,,,,
