link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29]
5797,1000,5530,2,44032,14086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5798,1000,5530,2,44032,14087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5800,1003,5531,2,44032,14086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5801,1003,5531,2,44032,14087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5803,1006,5532,2,44032,14086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5804,1006,5532,2,44032,14087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5806,1009,5533,2,44032,14087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5807,1009,5533,2,44032,14087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5809,1012,5534,2,44032,14087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5810,1012,5534,2,44032,14087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5826,1062,5536,2,44032,14237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5827,1062,5536,2,44032,14237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5829,1065,5537,2,44032,14237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5830,1065,5537,2,44032,14237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5832,1068,5538,2,44032,14237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5833,1068,5538,2,44032,14237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5835,1071,5539,2,44032,14237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5836,1071,5539,2,44032,14237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5838,1074,5540,2,44032,14236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5839,1074,5540,2,44032,14236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5841,1077,5541,2,44032,14236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5842,1077,5541,2,44032,14236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
