link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21]
2287,608,2179,1,1024,2183,,,,,,,,,,,,,,,,,,,,,
2290,610,2180,2,1024,2182,,,,,,,,,,,,,,,,,,,,,
2293,611,2181,2,1024,2182,,,,,,,,,,,,,,,,,,,,,
2296,613,2182,1,1024,2183,,,,,,,,,,,,,,,,,,,,,
2305,614,2183,1,1024,5780,,,,,,,,,,,,,,,,,,,,,
2306,614,2183,1,1024,5780,,,,,,,,,,,,,,,,,,,,,
2307,614,2183,1,1024,5780,,,,,,,,,,,,,,,,,,,,,
2308,614,2183,1,1024,5780,,,,,,,,,,,,,,,,,,,,,
2323,617,2186,2,1024,802,,,,,,,,,,,,,,,,,,,,,
2324,617,2186,2,1024,802,,,,,,,,,,,,,,,,,,,,,
2327,618,2187,1,1,3,,,,,,,,,,,,,,,,,,,,,
2328,618,2187,1,1,3,,,,,,,,,,,,,,,,,,,,,
2333,630,2188,2,65536,625,,,,,,,,,,,,,,,,,,,,,
2334,630,2188,2,65536,625,,,,,,,,,,,,,,,,,,,,,
2336,631,2189,2,65536,2188,,,,,,,,,,,,,,,,,,,,,
2337,631,2189,2,65536,2188,,,,,,,,,,,,,,,,,,,,,
2339,634,2190,2,65536,2188,,,,,,,,,,,,,,,,,,,,,
2340,634,2190,2,65536,2188,,,,,,,,,,,,,,,,,,,,,
2345,658,2191,2,65536,653,,,,,,,,,,,,,,,,,,,,,
2346,658,2191,2,65536,653,,,,,,,,,,,,,,,,,,,,,
2348,659,2192,2,65536,2191,,,,,,,,,,,,,,,,,,,,,
2349,659,2192,2,65536,2191,,,,,,,,,,,,,,,,,,,,,
2351,662,2193,2,65536,2191,,,,,,,,,,,,,,,,,,,,,
2352,662,2193,2,65536,2191,,,,,,,,,,,,,,,,,,,,,
2357,686,2194,2,65536,681,,,,,,,,,,,,,,,,,,,,,
2358,686,2194,2,65536,681,,,,,,,,,,,,,,,,,,,,,
2360,687,2195,2,65536,2194,,,,,,,,,,,,,,,,,,,,,
2361,687,2195,2,65536,2194,,,,,,,,,,,,,,,,,,,,,
2363,690,2196,2,65536,2194,,,,,,,,,,,,,,,,,,,,,
2364,690,2196,2,65536,2194,,,,,,,,,,,,,,,,,,,,,
2369,714,2197,2,65536,709,,,,,,,,,,,,,,,,,,,,,
2370,714,2197,2,65536,709,,,,,,,,,,,,,,,,,,,,,
2372,715,2198,2,65536,2197,,,,,,,,,,,,,,,,,,,,,
2373,715,2198,2,65536,2197,,,,,,,,,,,,,,,,,,,,,
2375,718,2199,2,65536,2197,,,,,,,,,,,,,,,,,,,,,
2376,718,2199,2,65536,2197,,,,,,,,,,,,,,,,,,,,,
2313,5717,5779,2,1024,814,822,,,,,,,,,,,,,,,,,,,,
5786,5718,5780,2,1024,5779,,,,,,,,,,,,,,,,,,,,,
2317,5787,5854,2,1024,789,,,,,,,,,,,,,,,,,,,,,
2320,5787,5854,2,1024,818,,,,,,,,,,,,,,,,,,,,,
2319,5787,5854,2,1024,2186,,,,,,,,,,,,,,,,,,,,,
2318,5787,5854,2,1024,789,,,,,,,,,,,,,,,,,,,,,
5861,5788,5855,2,1024,5854,,,,,,,,,,,,,,,,,,,,,
5865,5789,5856,2,1024,5854,5855,,,,,,,,,,,,,,,,,,,,
5866,5789,5856,2,1024,5854,,,,,,,,,,,,,,,,,,,,,
