link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17]
7863,7757,7755,2,10944,9392,9617,,,,,,,,,,,,,,,,
8036,7757,7755,2,87552,9165,,,,,,,,,,,,,,,,,
8037,7757,7755,2,10944,9392,9617,,,,,,,,,,,,,,,,
7974,7867,7865,2,87552,9165,,,,,,,,,,,,,,,,,
7973,7867,7865,2,10944,9392,9617,,,,,,,,,,,,,,,,
3573,8038,8243,2,87552,858,871,,,,,,,,,,,,,,,,
8254,8039,8244,2,87552,8243,,,,,,,,,,,,,,,,,
8259,8040,8245,2,87552,8243,,,,,,,,,,,,,,,,,
8260,8040,8245,2,87552,8244,,,,,,,,,,,,,,,,,
8261,8040,8245,2,87552,8243,,,,,,,,,,,,,,,,,
8263,8041,8246,2,87552,8244,,,,,,,,,,,,,,,,,
8264,8041,8246,2,87552,8245,,,,,,,,,,,,,,,,,
3572,8042,8247,2,87552,858,871,,,,,,,,,,,,,,,,
3574,8042,8247,2,87552,858,871,,,,,,,,,,,,,,,,
8267,8042,8247,2,87552,8245,,,,,,,,,,,,,,,,,
3577,8268,8477,2,10944,3447,,,,,,,,,,,,,,,,,
8487,8269,8478,2,87552,8477,,,,,,,,,,,,,,,,,
8491,8270,8479,2,87552,8478,,,,,,,,,,,,,,,,,
8495,8271,8480,2,87552,8478,,,,,,,,,,,,,,,,,
8496,8271,8480,2,87552,8477,,,,,,,,,,,,,,,,,
3580,8497,8706,2,10944,3448,,,,,,,,,,,,,,,,,
8716,8498,8707,2,87552,8706,,,,,,,,,,,,,,,,,
8720,8499,8708,2,87552,8707,,,,,,,,,,,,,,,,,
8724,8500,8709,2,87552,8706,,,,,,,,,,,,,,,,,
8725,8500,8709,2,87552,8707,,,,,,,,,,,,,,,,,
3583,8726,8935,2,10944,3449,,,,,,,,,,,,,,,,,
8945,8727,8936,2,87552,8935,,,,,,,,,,,,,,,,,
8949,8728,8937,2,87552,8936,,,,,,,,,,,,,,,,,
8953,8729,8938,2,87552,8936,,,,,,,,,,,,,,,,,
8954,8729,8938,2,87552,8935,,,,,,,,,,,,,,,,,
3597,8955,9163,2,87552,893,,,,,,,,,,,,,,,,,
9172,8956,9164,2,87552,9163,,,,,,,,,,,,,,,,,
9176,8957,9165,2,87552,9164,,,,,,,,,,,,,,,,,
3596,8958,9166,2,87552,893,,,,,,,,,,,,,,,,,
3595,8958,9166,2,87552,893,,,,,,,,,,,,,,,,,
9180,8958,9166,2,87552,9164,,,,,,,,,,,,,,,,,
3600,9181,9389,2,87552,906,,,,,,,,,,,,,,,,,
9398,9182,9390,2,87552,9389,,,,,,,,,,,,,,,,,
9402,9183,9391,2,87552,9390,,,,,,,,,,,,,,,,,
3601,9184,9392,2,87552,906,,,,,,,,,,,,,,,,,
3602,9184,9392,2,87552,906,,,,,,,,,,,,,,,,,
9406,9184,9392,2,87552,9390,,,,,,,,,,,,,,,,,
3605,9407,9615,2,87552,919,,,,,,,,,,,,,,,,,
9624,9408,9616,2,87552,9615,,,,,,,,,,,,,,,,,
9628,9409,9617,2,87552,9616,,,,,,,,,,,,,,,,,
3607,9410,9618,2,87552,919,,,,,,,,,,,,,,,,,
3606,9410,9618,2,87552,919,,,,,,,,,,,,,,,,,
9632,9410,9618,2,87552,9616,,,,,,,,,,,,,,,,,
3630,9633,9791,2,87552,621,,,,,,,,,,,,,,,,,
3631,9633,9791,2,87552,621,,,,,,,,,,,,,,,,,
9800,9634,9792,2,87552,9791,,,,,,,,,,,,,,,,,
9801,9634,9792,2,87552,9791,,,,,,,,,,,,,,,,,
9806,9635,9793,2,87552,9791,,,,,,,,,,,,,,,,,
9807,9635,9793,2,87552,9792,,,,,,,,,,,,,,,,,
3648,9808,9966,2,87552,7032,7142,7252,7362,,,,,,,,,,,,,,
3647,9808,9966,2,87552,7032,7142,7252,7362,,,,,,,,,,,,,,
9975,9809,9967,2,87552,9966,,,,,,,,,,,,,,,,,
9976,9809,9967,2,87552,9966,,,,,,,,,,,,,,,,,
9981,9810,9968,2,87552,9967,,,,,,,,,,,,,,,,,
9982,9810,9968,2,87552,9966,,,,,,,,,,,,,,,,,
3665,9983,10141,2,87552,7535,7645,7755,7865,,,,,,,,,,,,,,
3664,9983,10141,2,87552,7535,7645,7755,7865,,,,,,,,,,,,,,
10150,9984,10142,2,87552,10141,,,,,,,,,,,,,,,,,
10151,9984,10142,2,87552,10141,,,,,,,,,,,,,,,,,
10156,9985,10143,2,87552,10142,,,,,,,,,,,,,,,,,
10157,9985,10143,2,87552,10141,,,,,,,,,,,,,,,,,
3681,10158,10298,1,10944,799,,,,,,,,,,,,,,,,,
3682,10158,10298,1,10944,799,,,,,,,,,,,,,,,,,
10307,10159,10299,1,10944,10298,,,,,,,,,,,,,,,,,
10308,10159,10299,1,10944,10298,,,,,,,,,,,,,,,,,
10313,10160,10300,1,10944,10299,,,,,,,,,,,,,,,,,
10314,10160,10300,1,10944,10298,,,,,,,,,,,,,,,,,
