link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11]
3212,822,3086,2,32768,8451,,,,,,,,,,,
3213,822,3086,2,32768,8455,,,,,,,,,,,
3227,853,3088,2,32768,8690,,,,,,,,,,,
3228,853,3088,2,32768,8693,,,,,,,,,,,
3230,856,3089,2,32768,8690,,,,,,,,,,,
3231,856,3089,2,32768,8693,,,,,,,,,,,
3233,859,3090,2,32768,8691,,,,,,,,,,,
3234,859,3090,2,32768,8693,,,,,,,,,,,
3236,862,3091,2,32768,8691,,,,,,,,,,,
3237,862,3091,2,32768,8693,,,,,,,,,,,
3239,865,3092,2,32768,8688,,,,,,,,,,,
3240,865,3092,2,32768,8692,,,,,,,,,,,
6673,6601,6599,2,32768,6749,,,,,,,,,,,
6792,6601,6599,2,32768,6749,,,,,,,,,,,
6748,6676,6674,2,32768,6749,,,,,,,,,,,
6783,6750,6749,2,32768,3073,,,,,,,,,,,
6867,6795,6793,2,32768,6943,,,,,,,,,,,
6986,6795,6793,2,32768,6943,,,,,,,,,,,
6942,6870,6868,2,32768,6943,,,,,,,,,,,
6977,6944,6943,2,32768,3077,,,,,,,,,,,
3145,6987,7442,2,32768,8791,,,,,,,,,,,
3148,6987,7442,2,32768,8869,,,,,,,,,,,
3147,6987,7442,2,32768,8790,,,,,,,,,,,
3149,6987,7442,2,32768,8791,,,,,,,,,,,
3144,6988,7443,2,32768,8869,,,,,,,,,,,
3146,6988,7443,2,32768,8868,,,,,,,,,,,
7474,6988,7443,2,32768,7442,,,,,,,,,,,
7475,6988,7443,2,32768,7442,,,,,,,,,,,
7480,6989,7444,2,32768,7442,7443,,,,,,,,,,
7483,6990,7445,2,32768,7444,,,,,,,,,,,
7488,6991,7446,2,32768,7444,,,,,,,,,,,
7493,6992,7447,2,32768,7446,,,,,,,,,,,
7494,6992,7447,2,32768,7446,,,,,,,,,,,
7498,6993,7448,2,32768,7445,7447,,,,,,,,,,
7502,6994,7449,2,32768,7444,,,,,,,,,,,
7506,6995,7450,2,32768,7445,,,,,,,,,,,
7507,6995,7450,2,32768,7449,,,,,,,,,,,
7508,6995,7450,2,32768,7448,,,,,,,,,,,
7512,6996,7451,2,32768,7448,7450,,,,,,,,,,
7516,6997,7452,2,32768,7448,7450,,,,,,,,,,
7521,6998,7453,2,32768,7449,,,,,,,,,,,
7524,6999,7454,2,32768,7453,,,,,,,,,,,
7529,7000,7455,2,32768,7450,7454,,,,,,,,,,
7530,7000,7455,2,32768,7453,,,,,,,,,,,
7535,7001,7456,2,32768,7455,,,,,,,,,,,
7536,7001,7456,2,32768,7455,,,,,,,,,,,
7537,7001,7456,2,32768,7454,,,,,,,,,,,
7538,7001,7456,2,32768,7455,,,,,,,,,,,
7543,7002,7457,2,32768,7452,7456,,,,,,,,,,
7544,7002,7457,2,32768,7452,7456,,,,,,,,,,
7547,7003,7458,2,32768,7452,7456,7457,,,,,,,,,
7548,7003,7458,2,32768,7447,,,,,,,,,,,
7553,7004,7459,2,32768,7447,7458,,,,,,,,,,
7554,7004,7459,2,32768,7447,7458,,,,,,,,,,
7557,7005,7460,2,32768,7455,7456,,,,,,,,,,
7558,7005,7460,2,32768,7451,,,,,,,,,,,
7561,7006,7461,2,32768,7457,,,,,,,,,,,
7562,7006,7461,2,32768,7451,7460,,,,,,,,,,
7566,7007,7462,2,32768,7457,7461,,,,,,,,,,
7570,7008,7463,2,32768,7457,7461,,,,,,,,,,
7574,7009,7464,2,32768,7459,,,,,,,,,,,
7575,7009,7464,2,32768,7451,7460,,,,,,,,,,
7576,7009,7464,2,32768,7459,,,,,,,,,,,
7577,7009,7464,2,32768,7462,,,,,,,,,,,
7581,7010,7465,2,32768,7462,7464,,,,,,,,,,
7585,7011,7466,2,32768,7462,7464,,,,,,,,,,
7588,7012,7467,2,32768,7459,7464,,,,,,,,,,
7589,7012,7467,2,32768,7463,,,,,,,,,,,
7591,7013,7468,2,32768,7465,,,,,,,,,,,
7592,7013,7468,2,32768,7463,7467,,,,,,,,,,
7593,7013,7468,2,32768,7465,,,,,,,,,,,
7594,7013,7468,2,32768,7465,,,,,,,,,,,
7596,7014,7469,2,32768,7466,,,,,,,,,,,
7597,7014,7469,2,32768,7463,7467,,,,,,,,,,
7598,7014,7469,2,32768,7466,,,,,,,,,,,
7599,7014,7469,2,32768,7466,,,,,,,,,,,
3157,7600,8087,2,32768,8791,,,,,,,,,,,
3161,7600,8087,2,32768,8790,,,,,,,,,,,
3159,7600,8087,2,32768,8869,,,,,,,,,,,
3160,7600,8087,2,32768,8791,,,,,,,,,,,
3158,7601,8088,2,32768,8868,,,,,,,,,,,
3162,7601,8088,2,32768,8869,,,,,,,,,,,
8120,7601,8088,2,32768,8087,,,,,,,,,,,
8121,7601,8088,2,32768,8087,,,,,,,,,,,
8126,7602,8089,2,32768,8087,8088,,,,,,,,,,
8131,7603,8090,2,32768,8089,,,,,,,,,,,
8134,7604,8091,2,32768,8090,,,,,,,,,,,
8135,7604,8091,2,32768,8090,,,,,,,,,,,
8140,7605,8092,2,32768,8091,,,,,,,,,,,
8141,7605,8092,2,32768,8089,,,,,,,,,,,
8142,7605,8092,2,32768,8091,,,,,,,,,,,
8147,7606,8093,2,32768,8092,,,,,,,,,,,
8148,7606,8093,2,32768,8092,,,,,,,,,,,
8152,7607,8094,2,32768,8092,8093,,,,,,,,,,
8156,7608,8095,2,32768,8089,,,,,,,,,,,
8159,7609,8096,2,32768,8095,,,,,,,,,,,
8163,7610,8097,2,32768,8092,8096,,,,,,,,,,
8167,7611,8098,2,32768,8095,,,,,,,,,,,
8170,7612,8099,2,32768,8098,,,,,,,,,,,
8175,7613,8100,2,32768,8099,,,,,,,,,,,
8176,7613,8100,2,32768,8096,,,,,,,,,,,
8181,7614,8101,2,32768,8097,8100,,,,,,,,,,
8182,7614,8101,2,32768,8097,8100,,,,,,,,,,
8187,7615,8102,2,32768,8093,8101,,,,,,,,,,
8188,7615,8102,2,32768,8093,8101,,,,,,,,,,
8192,7616,8103,2,32768,8093,8101,8102,,,,,,,,,
8196,7617,8104,2,32768,8097,8100,8101,,,,,,,,,
8201,7618,8105,2,32768,8094,8104,,,,,,,,,,
8202,7618,8105,2,32768,8094,8104,,,,,,,,,,
