sim_scalar,packet_rate,buffer_size,flit_data_width,num_message_classes,num_nodes_per_router,explicit_pipeline_register,synthesis area (um^2),synthesis slack (ns),flit energy (J),dynamic power (W),static power (W)
0,100,16,2048,8,1,0,493355.998255,0.0,7.050756066111827e-11,0.12029999999999999,0.002902
1,100,16,2048,8,1,0,493355.998255,0.0,3.3521861446489275e-11,0.057194999999999996,0.002771
0,100,32,2048,8,1,0,921923.130756,0.0,9.670027497708526e-11,0.1899,0.005533
1,100,32,2048,8,1,0,921923.130756,0.0,3.360831041857623e-11,0.066,0.005251
0,100,4,128,2,2,0,16567.31678,0.0,5.974476324590742e-12,0.0067882,9.475e-05
1,100,4,128,2,2,0,16567.31678,0.0,5.153934166519979e-12,0.0058559,9.23e-05
0,100,8,128,2,2,0,25271.999656,0.0,5.288598705146494e-12,0.009639,0.0001442
1,100,8,128,2,2,0,25271.999656,0.0,4.239547898606387e-12,0.0077269999999999995,0.0001406
0,100,8,128,4,2,0,28215.368625,0.0,6.4418350628072095e-12,0.009436,0.0001632
1,100,8,128,4,2,0,28215.368625,0.0,5.378891316220645e-12,0.007879,0.0001598
0,100,16,128,4,2,0,45830.069351,0.0,7.23190841298183e-12,0.013771,0.0002655
1,100,16,128,4,2,0,45830.069351,0.0,5.378636697825858e-12,0.010242,0.000259
0,100,16,128,8,2,0,51796.133312,0.0,8.518344859922637e-12,0.014534000000000002,0.0003053
1,100,16,128,8,2,0,51796.133312,0.0,6.717852537803306e-12,0.011462,0.0002987
0,100,32,128,8,2,0,89739.81776,0.0,1.1763417863326206e-11,0.023101,0.0005552
1,100,32,128,8,2,0,89739.81776,0.0,8.815561666157452e-12,0.017312,0.0005409
0,100,4,256,2,2,0,29234.321594,0.0,9.928709734201726e-12,0.011281,0.0001665
1,100,4,256,2,2,0,29234.321594,0.0,7.954585460306284e-12,0.009038,0.0001606
0,100,8,256,2,2,0,45754.955367,0.0,9.418413255788435e-12,0.017166,0.0002618
1,100,8,256,2,2,0,45754.955367,0.0,6.760122901349721e-12,0.012320999999999999,0.0002535
0,100,8,256,4,2,0,48811.346325,0.0,1.0821272528672856e-11,0.015851,0.0002798
1,100,8,256,4,2,0,48811.346325,0.0,8.101447296559257e-12,0.011866999999999999,0.0002716
0,100,16,256,4,2,0,82429.423801,0.0,1.2093267513916606e-11,0.023028,0.0004792
1,100,16,256,4,2,0,82429.423801,0.0,7.62682491334944e-12,0.014523000000000001,0.000464
0,100,16,256,8,2,0,88181.962756,0.0,1.2988512483882312e-11,0.022161,0.0005191
1,100,16,256,8,2,0,88181.962756,0.0,9.117336771773533e-12,0.015556,0.0005027
0,100,32,256,8,2,0,157634.331701,0.0,1.759038598635299e-11,0.034544,0.0009634
1,100,32,256,8,2,0,157634.331701,0.0,1.0627355127813423e-11,0.02087,0.0009293
0,100,4,512,2,2,0,55155.086114,0.0,2.182098222143989e-11,0.024793000000000003,0.0003251
1,100,4,512,2,2,0,55155.086114,0.0,1.6869389192043655e-11,0.019167,0.000309
0,100,8,512,2,2,0,86968.321663,0.0,1.690003292000439e-11,0.030802,0.0004998
1,100,8,512,2,2,0,86968.321663,0.0,1.1180182157357622e-11,0.020377,0.0004827
0,100,8,512,4,2,0,89763.802639,0.0,1.8864691425450577e-11,0.027633,0.000517
1,100,8,512,4,2,0,89763.802639,0.0,1.3310349535772804e-11,0.019497,0.0005
0,100,16,512,4,2,0,155784.093578,0.0,2.12414662325386e-11,0.040448,0.0009071
1,100,16,512,4,2,0,155784.093578,0.0,1.245719987396282e-11,0.023721,0.0008759
0,100,16,512,8,2,0,164057.046475,0.0,2.2910561481655143e-11,0.03909,0.0009751
1,100,16,512,8,2,0,164057.046475,0.0,1.4358222951588325e-11,0.024498,0.0009437
0,100,32,512,8,2,0,294050.713436,0.0,3.0319788165801005e-11,0.059542,0.001773
1,100,32,512,8,2,0,294050.713436,0.0,1.496282717180976e-11,0.029384,0.00171
0,100,4,1024,2,2,0,106363.996262,0.0,4.102270726984686e-11,0.04661,0.0006088
1,100,4,1024,2,2,0,106363.996262,0.0,3.172592853370885e-11,0.036046999999999996,0.0005843
0,100,8,1024,2,2,0,169103.724376,0.0,3.251015033468671e-11,0.059253,0.0009791
1,100,8,1024,2,2,0,169103.724376,0.0,2.0971140129485352e-11,0.038222,0.000943
0,100,8,1024,4,2,0,171873.933352,0.0,3.547446750409612e-11,0.051962999999999995,0.0009872
1,100,8,1024,4,2,0,171873.933352,0.0,2.412342981977062e-11,0.035336,0.0009523
0,100,16,1024,4,2,0,302517.067247,0.0,3.991177397332214e-11,0.07600000000000001,0.001762
1,100,16,1024,4,2,0,302517.067247,0.0,2.196407940342401e-11,0.041824,0.001698
0,100,16,1024,8,2,0,310961.074139,0.0,4.2316258351893096e-11,0.0722,0.001848
1,100,16,1024,8,2,0,310961.074139,0.0,2.403176649865198e-11,0.041003000000000005,0.001775
0,100,32,1024,8,2,0,580246.865981,0.0,6.151339240248498e-11,0.12079999999999999,0.003489
1,100,32,1024,8,2,0,580246.865981,0.0,3.1141664120582544e-11,0.061156,0.003362
0,100,4,2048,2,2,0,213366.695448,0.0,7.912339376870271e-11,0.08990000000000001,0.001259
1,100,4,2048,2,2,0,213366.695448,0.0,6.08343601478613e-11,0.06912,0.001207
0,100,8,2048,2,2,0,333348.321802,0.0,6.386480851530781e-11,0.1164,0.001915
1,100,8,2048,2,2,0,333348.321802,0.0,4.049160539888072e-11,0.07379999999999999,0.001844
0,100,8,2048,4,2,0,336104.724778,0.0,6.895139268159476e-11,0.101,0.001931
1,100,8,2048,4,2,0,336104.724778,0.0,4.526215182960131e-11,0.0663,0.001859
0,100,16,2048,4,2,0,595825.415588,0.0,7.87207226131709e-11,0.1499,0.003485
1,100,16,2048,4,2,0,595825.415588,0.0,4.04894443860939e-11,0.0771,0.003349
0,100,16,2048,8,2,0,601857.350541,0.0,8.088149103270426e-11,0.138,0.003512
1,100,16,2048,8,2,0,601857.350541,0.0,4.38987223068808e-11,0.07490000000000001,0.003381
0,100,32,2048,8,2,0,1118963.997691,0.0,1.0993991241470618e-10,0.21589999999999998,0.006669
1,100,32,2048,8,2,0,1118963.997691,0.0,4.6135044301863735e-11,0.0906,0.006392
